frequency	elided_form	expanded_form	presentation_form	turns
17	δ’	δέ	δέ	urn:cts:greekLit:tlg0540.tlg001.fucex:14.token.65,urn:cts:greekLit:tlg0540.tlg001.fucex:16.token.37,urn:cts:greekLit:tlg0540.tlg001.fucex:17.token.12,urn:cts:greekLit:tlg0540.tlg001.fucex:18.token.14,urn:cts:greekLit:tlg0540.tlg001.fucex:23.token.2,urn:cts:greekLit:tlg0540.tlg001.fucex:23.token.41,urn:cts:greekLit:tlg0540.tlg001.fucex:23.token.45,urn:cts:greekLit:tlg0540.tlg001.fucex:24.token.2,urn:cts:greekLit:tlg0540.tlg001.fucex:24.token.50,urn:cts:greekLit:tlg0540.tlg001.fucex:25.token.2,urn:cts:greekLit:tlg0540.tlg001.fucex:25.token.46,urn:cts:greekLit:tlg0540.tlg001.fucex:27.token.47,urn:cts:greekLit:tlg0540.tlg001.fucex:29.token.21,urn:cts:greekLit:tlg0540.tlg001.fucex:34.token.27,urn:cts:greekLit:tlg0540.tlg001.fucex:41.token.69,urn:cts:greekLit:tlg0540.tlg001.fucex:42.token.45,urn:cts:greekLit:tlg0540.tlg001.fucex:49.token.30
8	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0540.tlg001.fucex:2.token.12,urn:cts:greekLit:tlg0540.tlg001.fucex:10.token.39,urn:cts:greekLit:tlg0540.tlg001.fucex:25.token.41,urn:cts:greekLit:tlg0540.tlg001.fucex:26.token.2,urn:cts:greekLit:tlg0540.tlg001.fucex:28.token.1,urn:cts:greekLit:tlg0540.tlg001.fucex:28.token.23,urn:cts:greekLit:tlg0540.tlg001.fucex:29.token.7,urn:cts:greekLit:tlg0540.tlg001.fucex:47.token.18
5	ἐπ’	ἐπί	ἐπί	urn:cts:greekLit:tlg0540.tlg001.fucex:6.token.29,urn:cts:greekLit:tlg0540.tlg001.fucex:8.token.1,urn:cts:greekLit:tlg0540.tlg001.fucex:21.token.28,urn:cts:greekLit:tlg0540.tlg001.fucex:31.token.53,urn:cts:greekLit:tlg0540.tlg001.fucex:33.token.23
5	παρ’	παρά	παρά	urn:cts:greekLit:tlg0540.tlg001.fucex:2.token.7,urn:cts:greekLit:tlg0540.tlg001.fucex:15.token.48,urn:cts:greekLit:tlg0540.tlg001.fucex:18.token.66,urn:cts:greekLit:tlg0540.tlg001.fucex:20.token.3,urn:cts:greekLit:tlg0540.tlg001.fucex:43.token.11
3	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0540.tlg001.fucex:13.token.22,urn:cts:greekLit:tlg0540.tlg001.fucex:14.token.66,urn:cts:greekLit:tlg0540.tlg001.fucex:27.token.24
2	ἐφ’	ἐπί	ἐπί	urn:cts:greekLit:tlg0540.tlg001.fucex:30.token.39,urn:cts:greekLit:tlg0540.tlg001.fucex:32.token.26
1	ἀνθ’		ἀνθ’	urn:cts:greekLit:tlg0540.tlg001.fucex:33.token.44
1	ὑπ’	ὑπό	ὑπό	urn:cts:greekLit:tlg0540.tlg001.fucex:45.token.44
1	μετ’	μετά	μετά	urn:cts:greekLit:tlg0540.tlg001.fucex:40.token.63
1	οἶδ’	οἶδα	οἶδα	urn:cts:greekLit:tlg0540.tlg001.fucex:1.token.30
1	ταῦθ’		ταῦθ’	urn:cts:greekLit:tlg0540.tlg001.fucex:9.token.12
1	τριάκονθ’		τριάκονθ’	urn:cts:greekLit:tlg0540.tlg001.fucex:14.token.61
1	ἵν’	ἵνα	ἵνα	urn:cts:greekLit:tlg0540.tlg001.fucex:42.token.17
1	ἔμ’		ἔμ’	urn:cts:greekLit:tlg0540.tlg001.fucex:21.token.22
1	ὥστ’	ὥστε	ὥστε	urn:cts:greekLit:tlg0540.tlg001.fucex:33.token.10
1	μεθ’	μετά	μετά	urn:cts:greekLit:tlg0540.tlg001.fucex:41.token.12
