token_urn	surface_form	normalized_form	reason
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	Lysias 1	Lysias 1	no_match_in_morph_dict
urn	urn:cite2:cex:fufolio.2026:lysias_1	urn:cite2:cex:fufolio.2026:lysias_1	no_match_in_morph_dict
license	CC Share Alike. For details, see more info.	CC Share Alike. For details, see more info.	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:	section	section	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:4.token7	ἐπιδεῖξαι	ἐπιδεῖξαι	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:4.token11	Ἐρατοσθένης	Ἐρατοσθένης	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:5.token7	ἐπιδείξω	ἐπιδείξω	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:7.token30	ἀποθανοῦσα	ἀποθανοῦσα	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:9.token64	διῃτώμην	διῃτώμην	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:13.token24	ἐκάθευδον	ἐκάθευδον	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:14.token59	τεθνεῶτος	τεθνεῶτος	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:16.token41	Ἐρατοσθένης	Ἐρατοσθένης	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:16.token42	Ὀῆθεν	Ὀῆθεν	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:19.token23	Ἐρατοσθένους	Ἐρατοσθένους	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:21.token32	ἐπιδεῖξαι	ἐπιδεῖξαι	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:22.token22	ἐπιδείξω	ἐπιδείξω	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:22.token34	Σώστρατος	Σώστρατος	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:23.token42	ἐκάθευδον	ἐκάθευδον	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:23.token46	Ἐρατοσθένης	Ἐρατοσθένης	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:29.token2	ἠμφεσβήτει	ἠμφεσβήτει	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:29.token15	ἀποθάνῃ	ἀποθάνῃ	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:39.token27	Σώστρατος	Σώστρατος	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:40.token18	Ἐρατοσθένει	Ἐρατοσθένει	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:41.token19	συλλεγῆναι	συλλεγῆναι	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:42.token1	καίτοιγε	καίτοιγε	no_match_in_morph_dict
urn:cts:greekLit:tlg0540.tlg001.fucex:43.token25	Ἐρατοσθένει	Ἐρατοσθένει	no_match_in_morph_dict
