form	token_urn	expanded_form	presentation_form
Δί’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:6.3.token32	Δία	Δία
βαθὺσ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:58.4.token16		βαθύσ’
βούλοιτ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:4.5.token48		βούλοιτ’
γ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:3.3.token26	γε	γε
δεῦρ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:65.3.token19	δεῦρο	δεῦρο
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:5.3.token24	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:6.2.token22	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:8.3.token42	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:10.1.token10	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:17.5.token41	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:18.2.token14	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:26.6.token53	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:31.8.token26	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:35.1.token58	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:35.5.token10	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:36.2.token15	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:39.4.token12	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:39.4.token65	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:40.2.token50	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:47.3.token25	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:47.5.token22	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:48.4.token32	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:49.4.token12	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:57.3.token42	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:57.3.token46	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:66.2.token24	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:77.2.token13	διά	διά
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:3.3.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:5.4.token21	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:5.5.token25	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:10.3.token48	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:19.2.token29	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:20.5.token26	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:22.5.token28	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:23.5.token13	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:24.8.token65	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:26.2.token11	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:28.3.token45	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:30.7.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:33.7.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:38.2.token19	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:38.4.token57	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:39.5.token16	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:39.6.token58	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:51.6.token33	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:60.5.token19	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:61.1.token42	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:66.2.token57	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:67.1.token53	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:67.2.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:68.4.token36	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:69.4.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:71.4.token27	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg047.ziegler.tok:71.4.token36	δέ	δέ
