’	'	ἒ	e)\	x--------
Αἰακίδης	*ai)aki/dhs	Αἰακίδης	*ai)aki/dhs	n-s---mn-
Αἰγαῖος	*ai)gai=os	Αἰγαῖος	*ai)gai=os	a-s---mn-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---fg-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---mg-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	n-s---fd-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	n-s---md-
Αἰσχύλου	*ai)sxu/lou	Αἰσχύλος	*ai)sxu/los	n-s---mg-
Αἰτωλοί	*ai)twloi/	Αἰτωλός	*ai)twlo/s	a-p---mn-
Αἰτωλοί	*ai)twloi/	Αἰτωλός	*ai)twlo/s	a-p---mv-
Αἰτωλοί	*ai)twloi/	Αἰτωλοί	*ai)twloi/	n-p---mn-
Αἰτωλοί	*ai)twloi/	Αἰτωλοί	*ai)twloi/	n-p---mv-
Αἰτωλούς	*ai)twlou/s	Αἰτωλός	*ai)twlo/s	a-p---ma-
Αἰτωλούς	*ai)twlou/s	Αἰτωλοί	*ai)twloi/	n-p---ma-
Αἰτωλοῖς	*ai)twloi=s	Αἰτωλός	*ai)twlo/s	a-p---md-
Αἰτωλοῖς	*ai)twloi=s	Αἰτωλός	*ai)twlo/s	a-p---nd-
Αἰτωλοῖς	*ai)twloi=s	Αἰτωλοί	*ai)twloi/	n-p---md-
Αἷμον	*ai(=mon	Αἵμων	*ai(/mwn	n-s---mv-
Αἷμον	*ai(=mon	Αἷμος	*ai(=mos	n-s---ma-
Αἷμον	*ai(=mon	Αῖ̔μος	*ai=(mos	n-s---ma-
Αἷμον	*ai(=mon	αἵμων	ai(/mwn	n-s---mv-
Βαβυλωνία	*babulwni/a	Βαβυλώνιος	*babulw/nios	a-d---fn-
Βαβυλωνία	*babulwni/a	Βαβυλώνιος	*babulw/nios	a-d---fv-
Βαβυλωνία	*babulwni/a	Βαβυλώνιος	*babulw/nios	a-d---fa-
Βαβυλωνία	*babulwni/a	Βαβυλώνιος	*babulw/nios	a-s---fn-
Βαβυλωνία	*babulwni/a	Βαβυλώνιος	*babulw/nios	a-s---fv-
Βαβυλωνίαν	*babulwni/an	Βαβυλώνιος	*babulw/nios	a-s---fa-
Βαβυλωνίων	*babulwni/wn	Βαβυλώνιος	*babulw/nios	a-p---fg-
Βαβυλωνίων	*babulwni/wn	Βαβυλώνιος	*babulw/nios	a-p---mg-
Βαβυλωνίων	*babulwni/wn	Βαβυλώνιος	*babulw/nios	a-p---ng-
Βαβυλῶνα	*babulw=na	Βαβυλών	*babulw/n	n-s---fa-
Βαβυλῶνα	*babulw=na	Βαβυλών	*babulw/n	n-s---ma-
Βαβυλῶνι	*babulw=ni	Βαβυλών	*babulw/n	n-s---fd-
Βαβυλῶνι	*babulw=ni	Βαβυλών	*babulw/n	n-s---md-
Βαβυλῶνος	*babulw=nos	Βαβυλών	*babulw/n	n-s---fg-
Βαβυλῶνος	*babulw=nos	Βαβυλών	*babulw/n	n-s---mg-
Βαγώαν	*bagw/an	Βαγώας	*bagw/as	n-s---ma-
Βαγώαν	*bagw/an	βαγώας	bagw/as	n-s---ma-
Βαγώου	*bagw/ou	Βαγώας	*bagw/as	n-s---mg-
Βαγώου	*bagw/ou	Βαγῶον	*bagw=on	n-s---ng-
Βαγώου	*bagw/ou	βαγώας	bagw/as	n-s---mg-
Βακτριανῆς	*baktrianh=s	Βακτριανός	*baktriano/s	a-s---fg-
Βαρσίνης	*barsi/nhs	Βαρσίνη	*barsi/nh	n-s---fg-
Βοηδρομιῶνος	*bohdromiw=nos	Βοηδρομιών	*bohdromiw/n	n-s---mg-
Βοηδρομιῶνος	*bohdromiw=nos	Βοηδρομιών	*bohdromiw/n	n-s---mg-
Βοηδρομιῶνος	*bohdromiw=nos	βοηδρομιών	bohdromiw/n	n-s---mg-
Βουκεφαλίαν	*boukefali/an	Βουκεφαλία	*boukefali/a	n-s---fa-
Βουκεφάλα	*boukefa/la	Βουκέφαλα	*bouke/fala	n-d---fn-
Βουκεφάλα	*boukefa/la	Βουκέφαλα	*bouke/fala	n-d---fv-
Βουκεφάλα	*boukefa/la	Βουκέφαλα	*bouke/fala	n-d---fa-
Βουκεφάλα	*boukefa/la	Βουκεφάλας	*boukefa/las	n-s----g-
Βουκεφάλα	*boukefa/la	Βουκεφάλας	*boukefa/las	n-d---mn-
Βουκεφάλα	*boukefa/la	Βουκεφάλας	*boukefa/las	n-d---mv-
Βουκεφάλα	*boukefa/la	Βουκεφάλας	*boukefa/las	n-d---ma-
Βουκεφάλα	*boukefa/la	Βουκεφάλας	*boukefa/las	n-s---mv-
Βουκεφάλα	*boukefa/la	Βουκεφάλας	*boukefa/las	n-s---mg-
Βουκεφάλα	*boukefa/la	Βουκεφάλας	*boukefa/las	n-s---mn-
Βουκεφάλαν	*boukefa/lan	Βουκεφάλας	*boukefa/las	n-s---ma-
Βουκεφάλαν	*boukefa/lan	Βουκεφάλας	*boukefa/las	n-s---ma-
Βουκεφάλας	*boukefa/las	Βουκέφαλα	*bouke/fala	n-p---fa-
Βουκεφάλας	*boukefa/las	Βουκέφαλα	*bouke/fala	n-s---fg-
Βουκεφάλας	*boukefa/las	Βουκεφάλας	*boukefa/las	n-p---ma-
Βουκεφάλας	*boukefa/las	Βουκεφάλας	*boukefa/las	n-s---mn-
Βυζαντίους	*buzanti/ous	Βυζάντιος	*buza/ntios	a-p---ma-
Βήλου	*bh/lou	Βῆλος	*bh=los	n-s---mg-
Βήσσου	*bh/ssou	Βῆσσος	*bh=ssos	n-s---mg-
Βήσσου	*bh/ssou	βήσσω	bh/ssw	v2spme---
