token_urn	surface_form	normalized_form	reason
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	Hymn to Hermes, Greek	Hymn to Hermes, Greek	no_match_in_morph_dict
urn	urn:cite2:cex:fufolio.2026:plutarch_alexander	urn:cite2:cex:fufolio.2026:plutarch_alexander	no_match_in_morph_dict
license	CC Share Alike. For details, see more info.	CC Share Alike. For details, see more info.	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:	Plaintext	Plaintext	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:1.1.token13	Πομπήϊος	Πομπήϊος	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:1.2.token27	παιδιά	παιδιά	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:2.1.token16	Αἰακίδης	Αἰακίδης	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:2.1.token29	θρᾴκῃ	θρᾴκῃ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:2.1.token53	Ἀρύμβαν	Ἀρύμβαν	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:2.3.token20	Ἀρίστανδρος	Ἀρίστανδρος	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:2.3.token22	Τελμησσεὺς	Τελμησσεύς	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:2.4.token15	μάλιστα	μάλιστα	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:2.5.token29	Κλώδωνές	Κλώδωνές	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:2.5.token32	Μιμαλλόνες	Μιμαλλόνες	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:2.5.token38	Ἠδωνίσι	Ἠδωνίσι	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:2.5.token44	Θρῄσσαις	Θρῄσσαις	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:3.1.token11	Χαίρωνα	Χαίρωνα	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:3.1.token28	μάλιστα	μάλιστα	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:3.2.token6	Ἐρατοσθένης	Ἐρατοσθένης	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:3.2.token38	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:3.2.token48	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:3.3.token21	Ἐφεσίας	Ἐφεσίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:3.3.token27	Ἡγησίας	Ἡγησίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:3.5.token8	Παρμενίωνος	Παρμενίωνος	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:3.5.token41	συγγεγεννημένον	συγγεγεννημένον	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:4.1.token8	Λυσίππειοι	Λυσίππειοι	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:4.1.token9	μάλιστα	μάλιστα	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:4.1.token24	μάλισθ’	μάλισθ’	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:4.2.token31	μάλιστα	μάλιστα	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:4.2.token60	Ἀριστοξενείοις	Ἀριστοξενείοις	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:4.3.token25	Θεόφραστος	Θεόφραστος	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:4.5.token58	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:4.5.token62	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:4.5.token65	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:4.5.token71	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:5.2.token27	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:5.2.token47	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:5.4.token23	Λεωνίδας	Λεωνίδας	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.2.token18	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.2.token30	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.2.token46	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.2.token50	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.2.token53	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.2.token66	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.3.token1	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.3.token5	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.3.token8	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.3.token14	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.3.token15	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.3.token27	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.3.token28	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.3.token34	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.3.token37	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.3.token43	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.5.token45	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.5.token49	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.5.token52	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:6.5.token62	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:7.1.token55	Σοφοκλέα	Σοφοκλέα	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:7.2.token8	Ἀριστοτέλην	Ἀριστοτέλην	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:7.2.token19	Σταγειριτῶν	Σταγειριτῶν	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:7.2.token25	Ἀριστοτέλης	Ἀριστοτέλης	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:7.3.token9	Μίεζαν	Μίεζαν	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:7.3.token16	Ἀριστοτέλους	Ἀριστοτέλους	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:7.4.token16	Ἀριστοτέλους	Ἀριστοτέλους	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:7.4.token31	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:7.4.token33	Ἀριστοτέλει	Ἀριστοτέλει	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:7.4.token80	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:7.5.token8	Ἀριστοτέλης	Ἀριστοτέλης	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:8.1.token11	Ἀριστοτέλης	Ἀριστοτέλης	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:8.2.token16	Ἀριστοτέλους	Ἀριστοτέλους	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:8.2.token36	Ὀνησίκριτος	Ὀνησίκριτος	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:8.2.token41	ἀλλων	ἀλλων	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:8.2.token49	Ἅρπαλον	Ἅρπαλον	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:8.3.token12	Σοφοκλέους	Σοφοκλέους	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:8.3.token14	Αἰσχύλου	Αἰσχύλου	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:8.3.token24	Ἀριστοτέλην	Ἀριστοτέλην	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:8.4.token22	Ἀνάξαρχόν	Ἀνάξαρχόν	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:8.4.token28	Ξενοκράτει	Ξενοκράτει	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:8.4.token32	Δάνδαμις	Δάνδαμις	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:8.4.token34	Καλανὸς	Καλανός	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.1.token5	Βυζαντίους	Βυζαντίους	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.1.token9	ἑκκαιδεκέτης	ἑκκαιδεκέτης	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.1.token23	Μαίδων	Μαίδων	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.1.token41	Ἀλεξανδρόπολιν	Ἀλεξανδρόπολιν	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.2.token3	Χαιρωνείᾳ	Χαιρωνείᾳ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.2.token20	Θηβαίων	Θηβαίων	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.2.token31	Κηφισὸν	Κηφισόν	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.4.token3	Ἄτταλος	Ἄτταλος	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.4.token7	Κλεοπάτρας	Κλεοπάτρας	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.4.token27	Ἄτταλος	Ἄτταλος	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.4.token42	Κλεοπάτρας	Κλεοπάτρας	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.4.token56	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.4.token67	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.5.token28	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.5.token32	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.5.token35	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.5.token53	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.6.token38	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.6.token42	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.6.token45	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.6.token64	ἐμπέπληκας	ἐμπέπληκας	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:9.6.token66	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:10.1.token3	Πιξόδαρος	Πιξόδαρος	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:10.1.token9	ὑποδυόμενος	ὑποδυόμενος	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:10.1.token22	Ἀρριδαίῳ	Ἀρριδαίῳ	no_match_in_morph_dict
urn:cts:greekLit:tlg0007.tlg047.ziegler:10.1.token30	Ἀριστόκριτον	Ἀριστόκριτον	no_match_in_morph_dict
