form	token_urn	expanded_form	presentation_form
γένοιτ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:16.7.token64		γένοιτ’
γ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.4.token25	γε	γε
γ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:2.2.token27	γε	γε
γ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.7.token17	γε	γε
γ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.10.token34	γε	γε
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:4.5.token19	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:6.1.token39	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.4.token12	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.5.token21	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:10.1.token49	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:10.5.token20	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:10.8.token24	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:15.1.token42	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:16.5.token42	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:17.2.token71	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.4.token35	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:31.2.token41	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:31.3.token85	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:32.2.token21	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:32.6.token51	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:38.4.token61	διά	διά
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2.token73	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.4.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:2.1.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:2.3.token13	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:2.5.token60	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:3.4.token20	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:3.7.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:4.1.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:5.2.token27	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:5.2.token42	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:6.2.token58	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:6.3.token12	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:6.4.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:7.3.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:7.3.token11	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:7.4.token11	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:7.6.token21	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:8.3.token20	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:8.7.token11	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1.token19	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.5.token25	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:10.7.token53	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.1.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.1.token18	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.3.token21	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.3.token39	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.5.token17	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.5.token31	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:12.1.token78	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:12.5.token18	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.1.token10	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.4.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.4.token25	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.7.token12	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.7.token48	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.8.token21	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.9.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.9.token14	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.11.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.14.token22	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:15.1.token128	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:15.2.token22	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:15.3.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:16.1.token27	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:16.2.token21	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:16.7.token29	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:16.7.token55	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:17.2.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:17.4.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:18.3.token10	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:19.3.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:20.3.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:22.1.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:22.3.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:22.4.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:22.4.token13	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:23.2.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.2.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.3.token14	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.5.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.8.token12	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.9.token33	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:25.2.token40	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:25.4.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:26.2.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:26.4.token44	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:27.1.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:27.4.token30	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:28.1.token31	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:28.2.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:28.5.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:28.6.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:29.2.token64	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:30.3.token15	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:30.3.token40	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:30.3.token72	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:32.6.token64	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:33.7.token19	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:33.8.token52	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:34.5.token88	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:35.2.token64	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:35.3.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:35.4.token38	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:36.1.token23	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:36.4.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:37.1.token27	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:37.3.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:39.3.token56	δέ	δέ
εἴθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:4.6.token50	εἴτε	εἴτε
εἴτ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:32.4.token24		εἴτ’
εἶτ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:22.1.token30	εἶτε	εἶτε
καθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:2.1.token18	κατά	κατά
καθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:7.6.token40	κατά	κατά
καθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2.token31	κατά	κατά
καθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.4.token41	κατά	κατά
καθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:23.2.token13	κατά	κατά
καθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:23.2.token47	κατά	κατά
καθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.9.token11	κατά	κατά
κατ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:3.1.token20	κατά	κατά
κατ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:5.2.token17	κατά	κατά
