’’	''	ἀεί	a)ei/	urn:cite2:hmt:lsj.chicago_md:n1564	d--------
’’	''	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v1siia---
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	urn:cite2:hmt:lsj.chicago_md:n2219	a-p---fg-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	urn:cite2:hmt:lsj.chicago_md:n2219	a-p---mg-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	urn:cite2:hmt:lsj.chicago_md:n2219	a-p---ng-
Αἰγυπτίων	*ai)gupti/wn	Αἰγυπτιόω	*ai)guptio/w	urn:cite2:hmt:lsj.chicago_md:n2220	v3piia---
Αἰγυπτίων	*ai)gupti/wn	Αἰγυπτιόω	*ai)guptio/w	urn:cite2:hmt:lsj.chicago_md:n2220	v1siia---
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---fg-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---mg-
Αἴγιναν	*ai)/ginan	Αἴγινα	*ai)/gina	urn:cite2:hmt:lsj.chicago_md:n2161	n-s---fa-
Βοιωτῶν	*boiwtw=n	Βοιωτός	*boiwto/s	urn:cite2:hmt:lsj.chicago_md:n20256	n-p---mg-
Δελφοί	*delfoi/	Δελφοί	*delfoi/	urn:cite2:hmt:lsj.chicago_md:n24003	n-p---mn-
Δελφοί	*delfoi/	Δελφοί	*delfoi/	urn:cite2:hmt:lsj.chicago_md:n24003	n-p---mv-
Δελφούς	*delfou/s	Δελφοί	*delfoi/	urn:cite2:hmt:lsj.chicago_md:n24003	n-p---ma-
Δελφοῖς	*delfoi=s	Δελφοί	*delfoi/	urn:cite2:hmt:lsj.chicago_md:n24003	n-p---md-
Διαμνημονεύεται	*diamnhmoneu/etai	διαμνημονεύω	diamnhmoneu/w	urn:cite2:hmt:lsj.chicago_md:n25293	v3spie---
Διαμνημονεύεται	*diamnhmoneu/etai	διαμνημονεύω	diamnhmoneu/w	urn:cite2:hmt:lsj.chicago_md:n25293	v3spie---
Διδάσκαλον	*dida/skalon	διδάσκαλος	dida/skalos	urn:cite2:hmt:lsj.chicago_md:n26411	n-s---ma-
Διδάσκαλον	*dida/skalon	διδάσκαλος	dida/skalos	urn:cite2:hmt:lsj.chicago_md:n26411	n-s---fa-
Δωριεῖς	*dwriei=s	Δωριεύς	*dwrieu/s	urn:cite2:hmt:lsj.chicago_md:n29802	n-p---ma-
Δωριεῖς	*dwriei=s	Δωριεύς	*dwrieu/s	urn:cite2:hmt:lsj.chicago_md:n29802	n-p---mn-
Δωριεῖς	*dwriei=s	Δωριεύς	*dwrieu/s	urn:cite2:hmt:lsj.chicago_md:n29802	n-p---mv-
Δωριεῖς	*dwriei=s	δωρίζω	dwri/zw	urn:cite2:hmt:lsj.chicago_md:n29803	v2sfia---
Δάμων	*da/mwn	δαμάω	dama/w	urn:cite2:hmt:lsj.chicago_md:n23385	v3piia---
Δάμων	*da/mwn	δαμάω	dama/w	urn:cite2:hmt:lsj.chicago_md:n23385	v1siia---
Δάμων	*da/mwn	δῆμος	dh=mos	urn:cite2:hmt:lsj.chicago_md:n24436	n-p---mg-
Δήλου	*dh/lou	Δῆλος	*dh=los	urn:cite2:hmt:lsj.chicago_md:n24339	n-s---fg-
Δήλου	*dh/lou	Δῆλος	*dh=los	urn:cite2:hmt:lsj.chicago_md:n24340	n-s---fg-
Δήλου	*dh/lou	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v2spme---
Δήλου	*dh/lou	δῆλος	dh=los	urn:cite2:hmt:lsj.chicago_md:n24339	a-s---mg-
Δήλου	*dh/lou	δῆλος	dh=los	urn:cite2:hmt:lsj.chicago_md:n24340	a-s---mg-
Δήλου	*dh/lou	δῆλος	dh=los	urn:cite2:hmt:lsj.chicago_md:n24339	a-s---ng-
Δήλου	*dh/lou	δῆλος	dh=los	urn:cite2:hmt:lsj.chicago_md:n24340	a-s---ng-
Δήλου	*dh/lou	δῆλος	dh=los	urn:cite2:hmt:lsj.chicago_md:n24339	n-s---mg-
Δήλου	*dh/lou	δῆλος	dh=los	urn:cite2:hmt:lsj.chicago_md:n24340	n-s---mg-
Δήλου	*dh/lou	δῆλος	dh=los	urn:cite2:hmt:lsj.chicago_md:n24339	n-s---fg-
Δήλου	*dh/lou	δῆλος	dh=los	urn:cite2:hmt:lsj.chicago_md:n24340	n-s---fg-
Δήλου	*dh/lou	δῆλος	dh=los	urn:cite2:hmt:lsj.chicago_md:n24339	n-s---ng-
Δήλου	*dh/lou	δῆλος	dh=los	urn:cite2:hmt:lsj.chicago_md:n24340	n-s---ng-
Δήλου	*dh/lou	δηλόω	dhlo/w	urn:cite2:hmt:lsj.chicago_md:n24342	v2spma---
Δήλου	*dh/lou	δηλόω	dhlo/w	urn:cite2:hmt:lsj.chicago_md:n24342	v3siia---
Δήμοις	*dh/mois	δῆμος	dh=mos	urn:cite2:hmt:lsj.chicago_md:n24436	n-p---md-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---nn-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---nn-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---nv-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---nv-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---na-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---ma-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-d---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-d---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-d---fv-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-d---fv-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-d---fa-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-d---fa-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-s---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-s---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-s---fv-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-s---fv-
Δίπυλον	*di/pulon	δίπυλος	di/pulos	urn:cite2:hmt:lsj.chicago_md:n27426	n-s---ma-
Δίπυλον	*di/pulon	δίπυλος	di/pulos	urn:cite2:hmt:lsj.chicago_md:n27426	n-s---fa-
Δίπυλον	*di/pulon	δίπυλος	di/pulos	urn:cite2:hmt:lsj.chicago_md:n27426	n-s---nn-
Δίπυλον	*di/pulon	δίπυλος	di/pulos	urn:cite2:hmt:lsj.chicago_md:n27426	n-s---nv-
Δίπυλον	*di/pulon	δίπυλος	di/pulos	urn:cite2:hmt:lsj.chicago_md:n27426	n-s---na-
Δῃάνειρα	*dh|a/neira	Δηιάνειρα	*dhia/neira	urn:cite2:hmt:lsj.chicago_md:n24308	n-s---fn-
Δῃάνειρα	*dh|a/neira	Δηιάνειρα	*dhia/neira	urn:cite2:hmt:lsj.chicago_md:n24308	n-s---fv-
Εἰς	*ei)s	εἰς	ei)s	urn:cite2:hmt:lsj.chicago_md:n31235	r--------
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-s---fg-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-s---fg-
Εὐθύς	*eu)qu/s	εὐθύσ1	eu)qu/s	urn:cite2:hmt:lsj.chicago_md:n44099	a-s---mn-
Εὐθύς	*eu)qu/s	εὐθύσ2	eu)qu/s	urn:cite2:hmt:lsj.chicago_md:n44099	d--------
Εὐρώπης	*eu)rw/phs	Εὐρώπη	*eu)rw/ph	urn:cite2:hmt:lsj.chicago_md:n45073	n-s---fg-
Εὐάγγελος	*eu)a/ggelos	Εὐάγγελος	*eu)a/ggelos	urn:cite2:hmt:lsj.chicago_md:n43318	n-s---mn-
Εὐάγγελος	*eu)a/ggelos	εὐάγγελος	eu)a/ggelos	urn:cite2:hmt:lsj.chicago_md:n43318	n-s---mn-
Εὐάγγελος	*eu)a/ggelos	εὐάγγελος	eu)a/ggelos	urn:cite2:hmt:lsj.chicago_md:n43318	n-s---fn-
Εὔβοιαν	*eu)/boian	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-s---fa-
Εὔπολις	*eu)/polis	Εὔπολις	*eu)/polis	urn:cite2:hmt:lsj.chicago_md:n44822	n-s---fn-
Εὔπολις	*eu)/polis	εὔπολις	eu)/polis	urn:cite2:hmt:lsj.chicago_md:n44822	n-s---fn-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2siie---
Ζεῦξιν	*zeu=cin	Ζεῦξις	*zeu=cis	urn:cite2:hmt:lsj.chicago_md:n46194	n-s---fa-
Ζεῦξιν	*zeu=cin	ζεῦξις	zeu=cis	urn:cite2:hmt:lsj.chicago_md:n46194	n-s---fa-
Ζήνων	*zh/nwn	ζῆνος	zh=nos	urn:cite2:hmt:lsj.chicago_md:n46242	a-p---fg-
Ζήνων	*zh/nwn	ζῆνος	zh=nos	urn:cite2:hmt:lsj.chicago_md:n46242	a-p---mg-
Ζήνων	*zh/nwn	ζῆνος	zh=nos	urn:cite2:hmt:lsj.chicago_md:n46242	a-p---ng-
Θαυμαστός	*qaumasto/s	θαυμαστός	qaumasto/s	urn:cite2:hmt:lsj.chicago_md:n47931	a-s---mn-
Θεσσαλούς	*qessalou/s	Θεσσαλός	*qessalo/s	urn:cite2:hmt:lsj.chicago_md:n48551	a-p---ma-
Θεσσαλούς	*qessalou/s	Θεσσαλός	*qessalo/s	urn:cite2:hmt:lsj.chicago_md:n48551	n-p---ma-
Θεσσαλός	*qessalo/s	Θεσσαλός	*qessalo/s	urn:cite2:hmt:lsj.chicago_md:n48551	a-s---mn-
Θεσσαλός	*qessalo/s	Θεσσαλός	*qessalo/s	urn:cite2:hmt:lsj.chicago_md:n48551	n-s---mn-
Θουρίους	*qouri/ous	Θούριος	*qou/rios	urn:cite2:hmt:lsj.chicago_md:n48987	a-p---ma-
Θουρίους	*qouri/ous	θούριος	qou/rios	urn:cite2:hmt:lsj.chicago_md:n48987	a-p---ma-
Θρᾳκῶν	*qra|kw=n	Θρᾷξ	*qra=|c	urn:cite2:hmt:lsj.chicago_md:n49017	n-p---mg-
Θρᾴτταις	*qra/|ttais	θρᾷττα	qra=|tta	urn:cite2:hmt:lsj.chicago_md:n49061	n-p---fd-
Θρᾴτταις	*qra/|ttais	θρᾷττα	qra=|tta	urn:cite2:hmt:lsj.chicago_md:n49062	n-p---fd-
Θάσιος	*qa/sios	Θάσιος	*qa/sios	urn:cite2:hmt:lsj.chicago_md:n47910	a-s---mn-
Καλλίαν	*kalli/an	Καλλίας	*kalli/as	urn:cite2:hmt:lsj.chicago_md:n52615	n-s---ma-
Καλλίαν	*kalli/an	καλλίας	kalli/as	urn:cite2:hmt:lsj.chicago_md:n52615	n-s---ma-
Καλλίαν	*kalli/an	καλλίας	kalli/as	urn:cite2:hmt:lsj.chicago_md:n52615	n-s---ma-
Καρχηδών	*karxhdw/n	Καρχηδών	*karxhdw/n	urn:cite2:hmt:lsj.chicago_md:n53572	n-s---fn-
Καρχηδών	*karxhdw/n	Καρχηδών	*karxhdw/n	urn:cite2:hmt:lsj.chicago_md:n53572	n-s---fv-
Καταπυγοσύνη	*katapugosu/nh	καταπυγοσύνη	katapugosu/nh	urn:cite2:hmt:lsj.chicago_md:n54946	n-s---fn-
Καταπυγοσύνη	*katapugosu/nh	καταπυγοσύνη	katapugosu/nh	urn:cite2:hmt:lsj.chicago_md:n54946	n-s---fv-
Καῖσαρ	*kai=sar	Καῖσαρ	*kai=sar	urn:cite2:hmt:lsj.chicago_md:n52048	n-s---mn-
Κεφαληγερέταν	*kefalhgere/tan	κεφαληγερέτης	kefalhgere/ths	urn:cite2:hmt:lsj.chicago_md:n56992	n-s---ma-
Κεφαληγερέταν	*kefalhgere/tan	κεφαληγερέτης	kefalhgere/ths	urn:cite2:hmt:lsj.chicago_md:n56992	n-s---ma-
Κλέων	*kle/wn	κλέω	kle/w	urn:cite2:hmt:lsj.chicago_md:n57835	v-sppamn-
Κλέων	*kle/wn	κλέω	kle/w	urn:cite2:hmt:lsj.chicago_md:n57836	v-sppamn-
Κορινθίοις	*korinqi/ois	Κορίνθιος	*kori/nqios	urn:cite2:hmt:lsj.chicago_md:n59117	a-p---md-
Κορινθίοις	*korinqi/ois	Κορίνθιος	*kori/nqios	urn:cite2:hmt:lsj.chicago_md:n59117	a-p---nd-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	urn:cite2:hmt:lsj.chicago_md:n59117	a-p---fg-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	urn:cite2:hmt:lsj.chicago_md:n59117	a-p---mg-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	urn:cite2:hmt:lsj.chicago_md:n59117	a-p---ng-
Κρόνος	*kro/nos	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---mn-
Κρόνος	*kro/nos	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---mn-
Κρόνος	*kro/nos	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---mn-
Κρόνος	*kro/nos	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---mn-
Κέρκυραν	*ke/rkuran	Κέρκυρα	*ke/rkura	urn:cite2:hmt:lsj.chicago_md:n56881	n-s---fa-
Κόροιβος	*ko/roibos	Κόροιβος	*ko/roibos	urn:cite2:hmt:lsj.chicago_md:n59143	n-s---mn-
Κόροιβος	*ko/roibos	κόροιβος	ko/roibos	urn:cite2:hmt:lsj.chicago_md:n59143	n-s---mn-
Κύπρον	*ku/pron	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fa-
Κύπρον	*ku/pron	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61017	n-s---fa-
Κύπρον	*ku/pron	κύπρος	ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fa-
Κύπρον	*ku/pron	κύπρος	ku/pros	urn:cite2:hmt:lsj.chicago_md:n61017	n-s---fa-
Κύπρῳ	*ku/prw|	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fd-
Κύπρῳ	*ku/prw|	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61017	n-s---fd-
Κύπρῳ	*ku/prw|	κύπρος	ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fd-
