form	token_urn	expanded_form	presentation_form
γένοιτ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:16.7.token.64		γένοιτ’
γ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.4.token.25	γε	γε
γ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:2.2.token.27	γε	γε
γ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.7.token.17	γε	γε
γ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.10.token.34	γε	γε
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:4.5.token.19	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:6.1.token.39	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.4.token.12	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.5.token.21	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:10.1.token.49	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:10.5.token.20	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:10.8.token.24	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:15.1.token.42	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:16.5.token.42	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:17.2.token.71	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.4.token.35	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:31.2.token.41	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:31.3.token.85	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:32.2.token.21	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:32.6.token.51	διά	διά
δι’	urn:cts:greekLit:tlg0007.tlg012.ziegler:38.4.token.61	διά	διά
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2.token.73	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.4.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:2.1.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:2.3.token.13	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:2.5.token.60	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:3.4.token.20	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:3.7.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:4.1.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:5.2.token.27	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:5.2.token.42	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:6.2.token.58	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:6.3.token.12	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:6.4.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:7.3.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:7.3.token.11	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:7.4.token.11	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:7.6.token.21	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:8.3.token.20	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:8.7.token.11	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1.token.19	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.5.token.25	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:10.7.token.53	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.1.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.1.token.18	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.3.token.21	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.3.token.39	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.5.token.17	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.5.token.31	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:12.1.token.78	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:12.5.token.18	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.1.token.10	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.4.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.4.token.25	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.7.token.12	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.7.token.48	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.8.token.21	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.9.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.9.token.14	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.11.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:13.14.token.22	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:15.1.token.128	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:15.2.token.22	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:15.3.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:16.1.token.27	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:16.2.token.21	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:16.7.token.29	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:16.7.token.55	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:17.2.token.3	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:17.4.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:18.3.token.10	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:19.3.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:20.3.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:22.1.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:22.3.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:22.4.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:22.4.token.13	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:23.2.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.2.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.3.token.14	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.5.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.8.token.12	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:24.9.token.33	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:25.2.token.40	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:25.4.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:26.2.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:26.4.token.44	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:27.1.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:27.4.token.30	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:28.1.token.31	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:28.2.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:28.5.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:28.6.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:29.2.token.64	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:30.3.token.15	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:30.3.token.40	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:30.3.token.72	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:32.6.token.64	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:33.7.token.19	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:33.8.token.52	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:34.5.token.88	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:35.2.token.64	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:35.3.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:35.4.token.38	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:36.1.token.23	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:36.4.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:37.1.token.27	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:37.3.token.2	δέ	δέ
δ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:39.3.token.56	δέ	δέ
εἴθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:4.6.token.50	εἴτε	εἴτε
εἴτ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:32.4.token.24		εἴτ’
εἶτ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:22.1.token.30	εἶτε	εἶτε
καθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:2.1.token.18	κατά	κατά
καθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:7.6.token.40	κατά	κατά
καθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2.token.31	κατά	κατά
καθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:11.4.token.41	κατά	κατά
καθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:23.2.token.13	κατά	κατά
καθ’	urn:cts:greekLit:tlg0007.tlg012.ziegler:23.2.token.47	κατά	κατά
