frequency	elided_form	expanded_form	presentation_form	turns
88	δ’	δέ	δέ	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2.token.73,urn:cts:greekLit:tlg0007.tlg012.ziegler:1.4.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:2.1.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:2.3.token.13,urn:cts:greekLit:tlg0007.tlg012.ziegler:2.5.token.60,urn:cts:greekLit:tlg0007.tlg012.ziegler:3.4.token.20,urn:cts:greekLit:tlg0007.tlg012.ziegler:3.7.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:4.1.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:5.2.token.27,urn:cts:greekLit:tlg0007.tlg012.ziegler:5.2.token.42,urn:cts:greekLit:tlg0007.tlg012.ziegler:6.2.token.58,urn:cts:greekLit:tlg0007.tlg012.ziegler:6.3.token.12,urn:cts:greekLit:tlg0007.tlg012.ziegler:6.4.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:7.3.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:7.3.token.11,urn:cts:greekLit:tlg0007.tlg012.ziegler:7.4.token.11,urn:cts:greekLit:tlg0007.tlg012.ziegler:7.6.token.21,urn:cts:greekLit:tlg0007.tlg012.ziegler:8.3.token.20,urn:cts:greekLit:tlg0007.tlg012.ziegler:8.7.token.11,urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1.token.19,urn:cts:greekLit:tlg0007.tlg012.ziegler:9.5.token.25,urn:cts:greekLit:tlg0007.tlg012.ziegler:10.7.token.53,urn:cts:greekLit:tlg0007.tlg012.ziegler:11.1.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:11.1.token.18,urn:cts:greekLit:tlg0007.tlg012.ziegler:11.3.token.21,urn:cts:greekLit:tlg0007.tlg012.ziegler:11.3.token.39,urn:cts:greekLit:tlg0007.tlg012.ziegler:11.5.token.17,urn:cts:greekLit:tlg0007.tlg012.ziegler:11.5.token.31,urn:cts:greekLit:tlg0007.tlg012.ziegler:12.1.token.78,urn:cts:greekLit:tlg0007.tlg012.ziegler:12.5.token.18,urn:cts:greekLit:tlg0007.tlg012.ziegler:13.1.token.10,urn:cts:greekLit:tlg0007.tlg012.ziegler:13.4.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:13.4.token.25,urn:cts:greekLit:tlg0007.tlg012.ziegler:13.7.token.12,urn:cts:greekLit:tlg0007.tlg012.ziegler:13.7.token.48,urn:cts:greekLit:tlg0007.tlg012.ziegler:13.8.token.21,urn:cts:greekLit:tlg0007.tlg012.ziegler:13.9.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:13.9.token.14,urn:cts:greekLit:tlg0007.tlg012.ziegler:13.11.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:13.14.token.22,urn:cts:greekLit:tlg0007.tlg012.ziegler:15.1.token.128,urn:cts:greekLit:tlg0007.tlg012.ziegler:15.2.token.22,urn:cts:greekLit:tlg0007.tlg012.ziegler:15.3.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:16.1.token.27,urn:cts:greekLit:tlg0007.tlg012.ziegler:16.2.token.21,urn:cts:greekLit:tlg0007.tlg012.ziegler:16.7.token.29,urn:cts:greekLit:tlg0007.tlg012.ziegler:16.7.token.55,urn:cts:greekLit:tlg0007.tlg012.ziegler:17.2.token.3,urn:cts:greekLit:tlg0007.tlg012.ziegler:17.4.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:18.3.token.10,urn:cts:greekLit:tlg0007.tlg012.ziegler:19.3.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:20.3.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:22.1.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:22.3.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:22.4.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:22.4.token.13,urn:cts:greekLit:tlg0007.tlg012.ziegler:23.2.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:24.2.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:24.3.token.14,urn:cts:greekLit:tlg0007.tlg012.ziegler:24.5.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:24.8.token.12,urn:cts:greekLit:tlg0007.tlg012.ziegler:24.9.token.33,urn:cts:greekLit:tlg0007.tlg012.ziegler:25.2.token.40,urn:cts:greekLit:tlg0007.tlg012.ziegler:25.4.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:26.2.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:26.4.token.44,urn:cts:greekLit:tlg0007.tlg012.ziegler:27.1.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:27.4.token.30,urn:cts:greekLit:tlg0007.tlg012.ziegler:28.1.token.31,urn:cts:greekLit:tlg0007.tlg012.ziegler:28.2.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:28.5.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:28.6.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:29.2.token.64,urn:cts:greekLit:tlg0007.tlg012.ziegler:30.3.token.15,urn:cts:greekLit:tlg0007.tlg012.ziegler:30.3.token.40,urn:cts:greekLit:tlg0007.tlg012.ziegler:30.3.token.72,urn:cts:greekLit:tlg0007.tlg012.ziegler:32.6.token.64,urn:cts:greekLit:tlg0007.tlg012.ziegler:33.7.token.19,urn:cts:greekLit:tlg0007.tlg012.ziegler:33.8.token.52,urn:cts:greekLit:tlg0007.tlg012.ziegler:34.5.token.88,urn:cts:greekLit:tlg0007.tlg012.ziegler:35.2.token.64,urn:cts:greekLit:tlg0007.tlg012.ziegler:35.3.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:35.4.token.38,urn:cts:greekLit:tlg0007.tlg012.ziegler:36.1.token.23,urn:cts:greekLit:tlg0007.tlg012.ziegler:36.4.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:37.1.token.27,urn:cts:greekLit:tlg0007.tlg012.ziegler:37.3.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:39.3.token.56
23	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.5.token.12,urn:cts:greekLit:tlg0007.tlg012.ziegler:2.2.token.25,urn:cts:greekLit:tlg0007.tlg012.ziegler:4.3.token.11,urn:cts:greekLit:tlg0007.tlg012.ziegler:5.3.token.40,urn:cts:greekLit:tlg0007.tlg012.ziegler:6.2.token.71,urn:cts:greekLit:tlg0007.tlg012.ziegler:7.4.token.1,urn:cts:greekLit:tlg0007.tlg012.ziegler:7.7.token.31,urn:cts:greekLit:tlg0007.tlg012.ziegler:7.8.token.43,urn:cts:greekLit:tlg0007.tlg012.ziegler:14.1.token.39,urn:cts:greekLit:tlg0007.tlg012.ziegler:15.1.token.86,urn:cts:greekLit:tlg0007.tlg012.ziegler:15.3.token.10,urn:cts:greekLit:tlg0007.tlg012.ziegler:16.5.token.12,urn:cts:greekLit:tlg0007.tlg012.ziegler:16.7.token.38,urn:cts:greekLit:tlg0007.tlg012.ziegler:16.8.token.39,urn:cts:greekLit:tlg0007.tlg012.ziegler:28.2.token.26,urn:cts:greekLit:tlg0007.tlg012.ziegler:28.8.token.8,urn:cts:greekLit:tlg0007.tlg012.ziegler:29.2.token.44,urn:cts:greekLit:tlg0007.tlg012.ziegler:33.4.token.34,urn:cts:greekLit:tlg0007.tlg012.ziegler:33.6.token.14,urn:cts:greekLit:tlg0007.tlg012.ziegler:34.1.token.34,urn:cts:greekLit:tlg0007.tlg012.ziegler:34.5.token.109,urn:cts:greekLit:tlg0007.tlg012.ziegler:36.8.token.17,urn:cts:greekLit:tlg0007.tlg012.ziegler:39.2.token.87
16	δι’	διά	διά	urn:cts:greekLit:tlg0007.tlg012.ziegler:4.5.token.19,urn:cts:greekLit:tlg0007.tlg012.ziegler:6.1.token.39,urn:cts:greekLit:tlg0007.tlg012.ziegler:9.4.token.12,urn:cts:greekLit:tlg0007.tlg012.ziegler:9.5.token.21,urn:cts:greekLit:tlg0007.tlg012.ziegler:10.1.token.49,urn:cts:greekLit:tlg0007.tlg012.ziegler:10.5.token.20,urn:cts:greekLit:tlg0007.tlg012.ziegler:10.8.token.24,urn:cts:greekLit:tlg0007.tlg012.ziegler:15.1.token.42,urn:cts:greekLit:tlg0007.tlg012.ziegler:16.5.token.42,urn:cts:greekLit:tlg0007.tlg012.ziegler:17.2.token.71,urn:cts:greekLit:tlg0007.tlg012.ziegler:24.4.token.35,urn:cts:greekLit:tlg0007.tlg012.ziegler:31.2.token.41,urn:cts:greekLit:tlg0007.tlg012.ziegler:31.3.token.85,urn:cts:greekLit:tlg0007.tlg012.ziegler:32.2.token.21,urn:cts:greekLit:tlg0007.tlg012.ziegler:32.6.token.51,urn:cts:greekLit:tlg0007.tlg012.ziegler:38.4.token.61
13	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0007.tlg012.ziegler:2.1.token.43,urn:cts:greekLit:tlg0007.tlg012.ziegler:2.2.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:2.2.token.15,urn:cts:greekLit:tlg0007.tlg012.ziegler:4.6.token.57,urn:cts:greekLit:tlg0007.tlg012.ziegler:7.7.token.24,urn:cts:greekLit:tlg0007.tlg012.ziegler:15.1.token.69,urn:cts:greekLit:tlg0007.tlg012.ziegler:16.3.token.6,urn:cts:greekLit:tlg0007.tlg012.ziegler:19.3.token.59,urn:cts:greekLit:tlg0007.tlg012.ziegler:24.2.token.40,urn:cts:greekLit:tlg0007.tlg012.ziegler:28.2.token.27,urn:cts:greekLit:tlg0007.tlg012.ziegler:28.3.token.4,urn:cts:greekLit:tlg0007.tlg012.ziegler:37.1.token.18,urn:cts:greekLit:tlg0007.tlg012.ziegler:39.2.token.125
10	ἐπ’	ἐπί	ἐπί	urn:cts:greekLit:tlg0007.tlg012.ziegler:7.5.token.20,urn:cts:greekLit:tlg0007.tlg012.ziegler:10.1.token.29,urn:cts:greekLit:tlg0007.tlg012.ziegler:13.7.token.23,urn:cts:greekLit:tlg0007.tlg012.ziegler:13.14.token.25,urn:cts:greekLit:tlg0007.tlg012.ziegler:17.2.token.73,urn:cts:greekLit:tlg0007.tlg012.ziegler:17.3.token.19,urn:cts:greekLit:tlg0007.tlg012.ziegler:18.1.token.47,urn:cts:greekLit:tlg0007.tlg012.ziegler:19.3.token.41,urn:cts:greekLit:tlg0007.tlg012.ziegler:25.4.token.24,urn:cts:greekLit:tlg0007.tlg012.ziegler:35.4.token.14
9	ὑπ’	ὑπό	ὑπό	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1.token.30,urn:cts:greekLit:tlg0007.tlg012.ziegler:12.2.token.15,urn:cts:greekLit:tlg0007.tlg012.ziegler:16.7.token.22,urn:cts:greekLit:tlg0007.tlg012.ziegler:24.11.token.24,urn:cts:greekLit:tlg0007.tlg012.ziegler:33.4.token.35,urn:cts:greekLit:tlg0007.tlg012.ziegler:34.1.token.2,urn:cts:greekLit:tlg0007.tlg012.ziegler:34.4.token.19,urn:cts:greekLit:tlg0007.tlg012.ziegler:37.1.token.45,urn:cts:greekLit:tlg0007.tlg012.ziegler:37.5.token.9
7	παρ’	παρά	παρά	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1.token.25,urn:cts:greekLit:tlg0007.tlg012.ziegler:2.3.token.24,urn:cts:greekLit:tlg0007.tlg012.ziegler:2.3.token.31,urn:cts:greekLit:tlg0007.tlg012.ziegler:6.2.token.51,urn:cts:greekLit:tlg0007.tlg012.ziegler:25.1.token.39,urn:cts:greekLit:tlg0007.tlg012.ziegler:28.8.token.25,urn:cts:greekLit:tlg0007.tlg012.ziegler:31.2.token.35
7	καθ’	κατά	κατά	urn:cts:greekLit:tlg0007.tlg012.ziegler:2.1.token.18,urn:cts:greekLit:tlg0007.tlg012.ziegler:7.6.token.40,urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2.token.31,urn:cts:greekLit:tlg0007.tlg012.ziegler:11.4.token.41,urn:cts:greekLit:tlg0007.tlg012.ziegler:23.2.token.13,urn:cts:greekLit:tlg0007.tlg012.ziegler:23.2.token.47,urn:cts:greekLit:tlg0007.tlg012.ziegler:24.9.token.11
6	κατ’	κατά	κατά	urn:cts:greekLit:tlg0007.tlg012.ziegler:3.1.token.20,urn:cts:greekLit:tlg0007.tlg012.ziegler:5.2.token.17,urn:cts:greekLit:tlg0007.tlg012.ziegler:7.4.token.34,urn:cts:greekLit:tlg0007.tlg012.ziegler:24.1.token.20,urn:cts:greekLit:tlg0007.tlg012.ziegler:30.2.token.21,urn:cts:greekLit:tlg0007.tlg012.ziegler:30.3.token.28
5	ἀπ’	ἀπό	ἀπό	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.4.token.6,urn:cts:greekLit:tlg0007.tlg012.ziegler:2.3.token.14,urn:cts:greekLit:tlg0007.tlg012.ziegler:20.4.token.33,urn:cts:greekLit:tlg0007.tlg012.ziegler:24.9.token.8,urn:cts:greekLit:tlg0007.tlg012.ziegler:34.5.token.116
