frequency	elided_form	expanded_form	presentation_form	turns
108	δ’	δέ	δέ	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:12.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:31.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:33.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:34.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:88.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:114.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:137.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:155.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:169.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:188.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:196.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:200.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:208.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:237.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:239.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:265.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:274.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:292.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:292.1.text.token9,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:294.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:296.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:298.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:301.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:303.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:308.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:317.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:323.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:343.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:346.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:373.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:406.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:426.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:437.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:445.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:450.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:454.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:487.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:489.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:505.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:510.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:523.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:551.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:556.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:577.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:592.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:600.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:613.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:616.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:631.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:667.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:675.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:687.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:689.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:691.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:693.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:702.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:711.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:731.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:740.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:747.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:762.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:765.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:766.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:775.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:780.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:782.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:792.1.text.token8,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:797.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:798.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:805.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:805.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:819.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:821.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:831.1.text.token10,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:835.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:845.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:856.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:865.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:897.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:912.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:942.1.text.token8,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:961.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1001.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1019.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1022.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1032.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1044.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1050.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1060.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1060.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1081.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1088.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1108.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1114.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1128.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1205.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1206.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1214.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1288.1.text.token8,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1293.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1318.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1344.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1347.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1393.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1396.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1404.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1407.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1419.1.text.token5
64	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:23.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:76.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:83.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:94.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:162.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:167.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:186.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:193.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:263.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:321.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:328.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:344.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:415.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:469.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:479.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:506.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:520.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:529.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:535.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:548.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:565.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:574.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:578.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:630.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:640.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:648.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:654.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:660.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:664.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:684.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:733.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:743.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:778.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:810.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:852.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:853.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:877.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:890.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:949.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:972.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1040.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1048.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1064.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1077.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1084.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1107.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1113.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1141.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1145.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1164.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1183.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1234.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1244.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1250.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1252.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1257.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1271.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1286.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1338.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1351.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1370.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1400.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1403.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1413.1.text.token3
25	τ’	τε	τε	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:34.1.text.token8,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:35.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:297.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:379.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:381.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:413.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:461.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:492.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:538.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:563.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:567.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:569.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:647.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:653.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:674.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:679.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:688.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:717.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:773.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:843.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:848.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:861.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1009.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1039.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1390.1.text.token2
21	σ’	σε	σε	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:7.1.text.token9,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:11.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:112.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:368.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:428.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:492.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:525.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:556.1.text.token8,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:560.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:825.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:831.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:940.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1024.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1027.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1172.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1176.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1293.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1325.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1331.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1374.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1381.1.text.token6
20	γ’	γε	γε	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:111.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:182.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:441.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:469.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:472.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:531.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:535.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:715.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:812.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1068.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1070.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1123.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1127.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1132.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1150.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1268.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1312.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1342.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1369.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1409.1.text.token6
17	ποτ’	ποτε	ποτε	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:128.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:282.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:320.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:341.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:411.1.text.token8,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:430.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:463.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:607.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:800.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:905.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1070.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1073.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1093.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1142.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1158.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1290.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1355.1.text.token7
16	τοῦδ’	τοῦδε	τοῦδε	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:61.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:446.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:789.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:904.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:962.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:969.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1025.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1029.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1033.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1061.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1310.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1321.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1346.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1376.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1389.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1394.1.text.token4
16	ὧδ’		ὧδ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:40.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:191.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:196.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:281.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:378.1.text.token8,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:384.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:430.1.text.token7,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:440.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:449.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:489.1.text.token8,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:981.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1227.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1236.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1304.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1333.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1356.1.text.token6
16	μ’	με	με	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:18.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:103.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:351.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:396.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:397.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:400a.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:415.1.text.token8,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:451.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:458.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:494.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:584.1.text.token3,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:691.1.text.token10,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:787.1.text.token2,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:794.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:854.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1382.1.text.token4
12	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:428.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:439.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:628.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:676.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1103.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1118.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1242.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1251.1.text.token1,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1268.1.text.token6,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1307.1.text.token4,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1345.1.text.token5,urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1384.1.text.token5
