Αἰακιδᾶν	*ai)akida=n	Αἰακίδης	*ai)aki/dhs	n-p---mg-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---ma-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---nn-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---nv-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---na-
Αἴανθ’	*ai)/anq'	Αἴας	*ai)/as	n-s---ma-
Αἴανθ’	*ai)/anq'	Αἴας	*ai)/as	n-s---md-
Αἴαντα	*ai)/anta	Αἴας	*ai)/as	n-s---ma-
Αἴαντι	*ai)/anti	Αἴας	*ai)/as	n-s---md-
Αἴαντος	*ai)/antos	Αἴας	*ai)/as	n-s---mg-
Αἴας	*ai)/as	Αἴας	*ai)/as	n-s---mn-
Αἴας	*ai)/as	Αἶα	*ai)=a	n-p---fa-
Αἴας	*ai)/as	Αἶα	*ai)=a	n-s---fg-
Αἴας	*ai)/as	αἶα	ai)=a	n-s---fg-
Βοσπορίων	*bospori/wn	Βοσπόριος	*bospo/rios	n-p---mg-
Βοσπορίων	*bospori/wn	βοσπόριος	bospo/rios	a-p---fg-
Βοσπορίων	*bospori/wn	βοσπόριος	bospo/rios	a-p---mg-
Βοσπορίων	*bospori/wn	βοσπόριος	bospo/rios	a-p---ng-
Δαναῶν	*danaw=n	Δαναός	*danao/s	n-p---mg-
Δαναῶν	*danaw=n	Δαναοί	*danaoi/	n-p---mg-
Διογενές	*diogene/s	Διογενής	*diogenh/s	n-s---mv-
Διογενές	*diogene/s	Διογενής	*diogenh/s	n-s---fv-
Διογενές	*diogene/s	Διογενής	*diogenh/s	n-s---nn-
Διογενές	*diogene/s	Διογενής	*diogenh/s	n-s---nv-
Διογενές	*diogene/s	Διογενής	*diogenh/s	n-s---na-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---mv-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---fv-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---nn-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---nv-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---na-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---mv-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---fv-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---nn-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---nv-
Διογενές	*diogene/s	διογενής	diogenh/s	n-s---na-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δάλιος	*da/lios	Δήλιος	*dh/lios	a-s---mn-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fn-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fv-
Δίκη	*di/kh	δίκη	di/kh	n-s---fn-
Δίκη	*di/kh	δίκη	di/kh	n-s---fv-
Εὐρύσακες	*eu)ru/sakes	Εὐρυσάκης	*eu)rusa/khs	n-s---mv-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Ζηνός	*zhno/s	Ζεύς	*zeu/s	n-s---mg-
Θάνατε	*qa/nate	Θάνατος	*qa/natos	n-s---mv-
Θάνατε	*qa/nate	θάνατος	qa/natos	n-s---mv-
Κνώσι’	*knw/si'	Κνώσιος	*knw/sios	n-s---mv-
Κρήσσης	*krh/sshs	Κρής	*krh/s	n-s---fg-
Κρήσσης	*krh/sshs	Κρήσση	*krh/ssh	n-s---fg-
Κάλχας	*ka/lxas	Κάλχας	*ka/lxas	n-s---mn-
Κάλχας	*ka/lxas	κάλχη	ka/lxh	n-p---fa-
Κάλχας	*ka/lxas	κάλχη	ka/lxh	n-s---fg-
Λαερτίου	*laerti/ou	Λαέρτης	*lae/rths	n-s---mg-
Λακαίνης	*lakai/nhs	Λάκαινα	*la/kaina	n-s---fg-
Λαομέδοντος	*laome/dontos	Λαομέδων	*laome/dwn	n-s---mg-
Λαομέδοντος	*laome/dontos	λαομέδων	laome/dwn	n-s---mg-
Λαρτίου	*larti/ou	Λαέρτης	*lae/rths	n-s---mg-
Λαρτίου	*larti/ou	λάρτιος	la/rtios	a-s---mg-
Λαρτίου	*larti/ou	λάρτιος	la/rtios	a-s---ng-
Λαέρτου	*lae/rtou	Λαέρτης	*lae/rths	n-s---mg-
Μενέλαε	*mene/lae	Μενέλαος	*mene/laos	n-s---mv-
Μενέλαε	*mene/lae	Μενέλαος	*mene/laos	n-s---mv-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	n-s---mn-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	n-s---mn-
Μυσίων	*musi/wn	Μύσιος	*mu/sios	a-p---fg-
Μυσίων	*musi/wn	Μύσιος	*mu/sios	a-p---mg-
Μυσίων	*musi/wn	Μύσιος	*mu/sios	a-p---ng-
Μυσίων	*musi/wn	μύσις	mu/sis	n-p---fg-
Μυσίων	*musi/wn	μύσος	mu/sos	n-p---ng-
Μυσίων	*musi/wn	μύω	mu/w	v-sfpamn-
Μυσίων	*musi/wn	μύζω	mu/zw	v-sfpamn-
Μυσίων	*musi/wn	μυσιάω	musia/w	v3piia---
Μυσίων	*musi/wn	μυσιάω	musia/w	v1siia---
Νύσια	*nu/sia	Νύσιος	*nu/sios	a-p---nn-
Νύσια	*nu/sia	Νύσιος	*nu/sios	a-p---nv-
Νύσια	*nu/sia	Νύσιος	*nu/sios	a-p---na-
Νύσια	*nu/sia	Νῦσα	*nu=sa	a-p---nn-
Νύσια	*nu/sia	Νῦσα	*nu=sa	a-p---nv-
Νύσια	*nu/sia	Νῦσα	*nu=sa	a-p---na-
Παλλάς	*palla/s	Παλλάς	*palla/s	n-s---fn-
Πάν	*pa/n	Πάν	*pa/n	n-s---mn-
Πάν	*pa/n	Πάν	*pa/n	n-s---mv-
Πάν	*pa/n	Πᾶν	*pa=n	n-s---mn-
Πάν	*pa/n	Πᾶν	*pa=n	n-s---mv-
Πάν	*pa/n	πᾶς	pa=s	n-s---nn-
Πάν	*pa/n	πᾶς	pa=s	n-s---nv-
Πάν	*pa/n	πᾶς	pa=s	n-s---na-
Πέλοπα	*pe/lopa	Πέλοψ	*pe/loy	n-s---ma-
Σαλαμίς	*salami/s	Σαλαμίς	*salami/s	n-s---fn-
Σαλαμίς	*salami/s	Σαλαμίς	*salami/s	n-s---fv-
Σαλαμῖνος	*salami=nos	Σαλαμίς	*salami/s	n-s---fg-
Σκαμάνδριοι	*skama/ndrioi	Σκαμάνδριος	*skama/ndrios	n-p---mn-
Σκαμάνδριοι	*skama/ndrioi	Σκαμάνδριος	*skama/ndrios	n-p---mv-
Σκαμάνδριοι	*skama/ndrioi	Σκαμάνδριος	*skama/ndrios	n-p---fn-
Σκαμάνδριοι	*skama/ndrioi	Σκαμάνδριος	*skama/ndrios	n-p---fv-
Σουνίου	*souni/ou	Σούνιον	*sou/nion	n-s---ng-
Σπάρτης	*spa/rths	Σπάρτη	*spa/rth	n-s---fg-
Σπάρτης	*spa/rths	σπάρτη	spa/rth	n-s---fg-
Ταυροπόλα	*tauropo/la	ταυροπόλος	tauropo/los	n-d---fn-
Ταυροπόλα	*tauropo/la	ταυροπόλος	tauropo/los	n-d---fv-
Ταυροπόλα	*tauropo/la	ταυροπόλος	tauropo/los	n-d---fa-
Ταυροπόλα	*tauropo/la	ταυροπόλος	tauropo/los	n-s---fn-
Ταυροπόλα	*tauropo/la	ταυροπόλος	tauropo/los	n-s---fv-
Τελαμών	*telamw/n	Τελαμών	*telamw/n	n-s---mn-
Τελαμών	*telamw/n	Τελαμών	*telamw/n	n-s---mv-
Τελαμών	*telamw/n	τελαμών	telamw/n	n-s---mn-
Τελαμών	*telamw/n	τελαμών	telamw/n	n-s---mv-
Τελαμών	*telamw/n	τελαμών	telamw/n	n-s---fn-
Τελαμών	*telamw/n	τελαμών	telamw/n	n-s---fv-
Τελαμώνιε	*telamw/nie	Τελαμών	*telamw/n	a-s---mv-
Τελαμῶνι	*telamw=ni	Τελαμών	*telamw/n	n-s---md-
Τελαμῶνι	*telamw=ni	τελαμών	telamw/n	n-s---md-
Τελαμῶνι	*telamw=ni	τελαμών	telamw/n	n-s---fd-
Τελαμῶνος	*telamw=nos	Τελαμών	*telamw/n	n-s---mg-
Τελαμῶνος	*telamw=nos	τελαμών	telamw/n	n-s---mg-
Τελαμῶνος	*telamw=nos	τελαμών	telamw/n	n-s---fg-
