form	token_urn	expanded_form	presentation_form
αἵδ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:462.1.text.token.5		αἵδ’
αἵδ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:1107.2.text.token.1		αἵδ’
αἵδ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:1367.1.text.token.7		αἵδ’
αἵδ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:1368.1.text.token.1		αἵδ’
αἵδ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:1668.1.text.token.1		αἵδ’
αὐτίκ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:323.1.text.token.5		αὐτίκ’
αὐτίκ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:380.1.text.token.2		αὐτίκ’
αὐτίκ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:992.1.text.token.6		αὐτίκ’
αὐτίκ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:1371.1.text.token.2		αὐτίκ’
αὐτίκ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:1460.1.text.token.5		αὐτίκ’
αὐτίκ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:1520.1.text.token.4		αὐτίκ’
αὐτίχ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:433.1.text.token.8		αὐτίχ’
αὔχημ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:713.1.text.token.3		αὔχημ’
βλέποντ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:1438.1.text.token.1		βλέποντ’
βράχιστ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:1115.1.text.token.7		βράχιστ’
βᾶθ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:1491.1.text.token.6		βᾶθ’
βᾶτ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:841.1.text.token.5		βᾶτ’
γυναῖχ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:311.2.text.token.1		γυναῖχ’
γένησθ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:86.1.text.token.5		γένησθ’
γένοιτ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:606.1.text.token.3		γένοιτ’
γέρονθ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:931.1.text.token.1		γέρονθ’
γέροντ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:1008.1.text.token.7		γέροντ’
γύαλ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:1492.1.text.token.2		γύαλ’
γ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:25.1.text.token.6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg007.fu.sp:27.1.text.token.7	γε	γε
