form	token_urn	expanded_form	presentation_form
Λύκει’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:645.1.text.token7		Λύκει’
Λύκει’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:655.1.text.token4		Λύκει’
Λύκει’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1379.1.text.token5		Λύκει’
αἷμ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1420.1.text.token3		αἷμ’
βλέψασ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:959.1.text.token1		βλέψασ’
βάσταζ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1470.1.text.token3		βάσταζ’
γιγνώσκουσ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:988.1.text.token6		γιγνώσκουσ’
γνῶσ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:43.1.text.token1		γνῶσ’
γένοιτ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:353.1.text.token2		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:559.1.text.token3		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1189.1.text.token3		γένοιτ’
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:137.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:146.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:164.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:232.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:298.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:332.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:365.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:387.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:394.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:411.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:441.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:482.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:518.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:536.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:548.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:561.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:605.1.text.token9	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:631.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:909.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:923.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:925.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:941.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:944.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1020.1.text.token8	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1035.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1045.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1124.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1146.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1216.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1217.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1221.2.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1347.2.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1439.1.text.token5	γε	γε
δαίμον’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:658.1.text.token3		δαίμον’
δαῖτ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:284.1.text.token3		δαῖτ’
δεδορκότ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:66.1.text.token1		δεδορκότ’
δείν’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:779.1.text.token3		δείν’
δηλώσαιμ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:334.1.text.token3		δηλώσαιμ’
δι’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:737.1.text.token2	διά	διά
δι’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1024.1.text.token4	διά	διά
δι’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1439.1.text.token1	διά	διά
δι’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1509.1.text.token1	διά	διά
δρώμεν’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1333.1.text.token2		δρώμεν’
δρῶσ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:914.1.text.token4		δρῶσ’
δυσπρόσοπτ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:460.1.text.token4		δυσπρόσοπτ’
δόθ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1123.1.text.token1		δόθ’
δύναιτ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:697.1.text.token3		δύναιτ’
δύσποτμ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1199.1.text.token2		δύσποτμ’
δώματ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:661.1.text.token4		δώματ’
δώσουσ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:248.1.text.token1		δώσουσ’
δῆθ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1198.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:843.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1037.1.text.token4	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1164.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:1450.1.text.token2	δῆτα	δῆτα
δῶμ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:110.1.text.token2		δῶμ’
δῶρ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:360.1.text.token4		δῶρ’
δ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:6.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:7.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:8.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:47.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:73.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg005.fu-sp.tok:75.1.text.token2	δέ	δέ
