Αἰτωλίας	*ai)twli/as	Αἰτώλιος	*ai)tw/lios	urn:cite2:hmt:lsj.chicago_md:n2788	a-p---fa-
Αἰτωλίας	*ai)twli/as	Αἰτώλιος	*ai)tw/lios	urn:cite2:hmt:lsj.chicago_md:n2788	a-s---fg-
Αἰτωλίας	*ai)twli/as	Αἰτωλία	*ai)twli/a	urn:cite2:hmt:lsj.chicago_md:n2787	n-p---fa-
Αἰτωλίας	*ai)twli/as	Αἰτωλία	*ai)twli/a	urn:cite2:hmt:lsj.chicago_md:n2787	n-s---fg-
Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	urn:cite2:hmt:lsj.chicago_md:n17435	n-s---fd-
Βοιωτός	*boiwto/s	Βοιωτός	*boiwto/s	urn:cite2:hmt:lsj.chicago_md:n20256	n-s---mn-
Διός	*dio/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Δίκα	*di/ka	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-d---fn-
Δίκα	*di/ka	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-d---fv-
Δίκα	*di/ka	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-d---fa-
Δίκα	*di/ka	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fn-
Δίκα	*di/ka	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fv-
Δίκα	*di/ka	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-d---fn-
Δίκα	*di/ka	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-d---fv-
Δίκα	*di/ka	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-d---fa-
Δίκα	*di/ka	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fn-
Δίκα	*di/ka	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fv-
Δίκη	*di/kh	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fn-
Δίκη	*di/kh	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fv-
Δίκη	*di/kh	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fn-
Δίκη	*di/kh	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fv-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2siie---
Ζηνός	*zhno/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Θεσσαλάς	*qessala/s	Θεσσαλός	*qessalo/s	urn:cite2:hmt:lsj.chicago_md:n48551	a-p---fa-
Θέμιν	*qe/min	Θέμις	*qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	Θέμις	*qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	Θέμις	*qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Κρῖσαν	*kri=san	Κρῖσα	*kri=sa	urn:cite2:hmt:lsj.chicago_md:n60028	n-s---fa-
Λοξίου	*loci/ou	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-s---mg-
Λίβυες	*li/bues	Λίβυς	*li/bus	urn:cite2:hmt:lsj.chicago_md:n63067	n-p---mn-
Λίβυες	*li/bues	Λίβυς	*li/bus	urn:cite2:hmt:lsj.chicago_md:n63067	n-p---mv-
Λύκειος	*lu/keios	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---mn-
Λύκειος	*lu/keios	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---fn-
Λύκειος	*lu/keios	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---mn-
Λύκειος	*lu/keios	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---fn-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	urn:cite2:hmt:lsj.chicago_md:n64077	n-p---nn-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	urn:cite2:hmt:lsj.chicago_md:n64078	n-p---nn-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	urn:cite2:hmt:lsj.chicago_md:n64077	n-p---nv-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	urn:cite2:hmt:lsj.chicago_md:n64078	n-p---nv-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	urn:cite2:hmt:lsj.chicago_md:n64077	n-p---na-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	urn:cite2:hmt:lsj.chicago_md:n64078	n-p---na-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-p---nn-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-p---nv-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-p---na-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---mv-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---fv-
Λύκει’	*lu/kei'	λύκειον	lu/keion	urn:cite2:hmt:lsj.chicago_md:n64078	n-p---nn-
Λύκει’	*lu/kei'	λύκειον	lu/keion	urn:cite2:hmt:lsj.chicago_md:n64078	n-p---nv-
Λύκει’	*lu/kei'	λύκειον	lu/keion	urn:cite2:hmt:lsj.chicago_md:n64078	n-p---na-
Λύκει’	*lu/kei'	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-p---nn-
Λύκει’	*lu/kei'	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-p---nv-
Λύκει’	*lu/kei'	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-p---na-
Λύκει’	*lu/kei'	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---mv-
Λύκει’	*lu/kei'	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---fv-
Λύκει’	*lu/kei'	λυκεία	lukei/a	urn:cite2:hmt:lsj.chicago_md:n64076	n-p---fn-
Λύκει’	*lu/kei'	λυκεία	lukei/a	urn:cite2:hmt:lsj.chicago_md:n64076	n-p---fv-
Μαίας	*mai/as	Μάιος	*ma/ios	urn:cite2:hmt:lsj.chicago_md:n64567	a-s---fg-
Μαίας	*mai/as	Μάιος	*ma/ios	urn:cite2:hmt:lsj.chicago_md:n64567	a-s---fg-
Μαίας	*mai/as	Μαῖα	*mai=a	urn:cite2:hmt:lsj.chicago_md:n64530	n-p---fa-
Μαίας	*mai/as	Μαῖα	*mai=a	urn:cite2:hmt:lsj.chicago_md:n64531	n-p---fa-
Μαίας	*mai/as	Μαῖα	*mai=a	urn:cite2:hmt:lsj.chicago_md:n64530	n-s---fg-
Μαίας	*mai/as	Μαῖα	*mai=a	urn:cite2:hmt:lsj.chicago_md:n64531	n-s---fg-
Μαίας	*mai/as	Μαῖα	*mai=a	urn:cite2:hmt:lsj.chicago_md:n64530	n-p---fa-
Μαίας	*mai/as	Μαῖα	*mai=a	urn:cite2:hmt:lsj.chicago_md:n64531	n-p---fa-
Μαίας	*mai/as	Μαῖα	*mai=a	urn:cite2:hmt:lsj.chicago_md:n64530	n-s---fg-
Μαίας	*mai/as	Μαῖα	*mai=a	urn:cite2:hmt:lsj.chicago_md:n64531	n-s---fg-
Μαίας	*mai/as	μαῖα	mai=a	urn:cite2:hmt:lsj.chicago_md:n64530	n-p---fa-
Μαίας	*mai/as	μαῖα	mai=a	urn:cite2:hmt:lsj.chicago_md:n64531	n-p---fa-
Μαίας	*mai/as	μαῖα	mai=a	urn:cite2:hmt:lsj.chicago_md:n64530	n-s---fg-
Μαίας	*mai/as	μαῖα	mai=a	urn:cite2:hmt:lsj.chicago_md:n64531	n-s---fg-
Μενέλεω	*mene/lew	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mg-
Μυκήνας	*mukh/nas	Μυκήνη	*mukh/nh	urn:cite2:hmt:lsj.chicago_md:n69086	n-p---fa-
Μυκήνας	*mukh/nas	Μυκήνη	*mukh/nh	urn:cite2:hmt:lsj.chicago_md:n69086	n-s---fg-
Μάγνης	*ma/gnhs	Μάγνης	*ma/gnhs	urn:cite2:hmt:lsj.chicago_md:n64446	n-s---mn-
Νέμεσι	*ne/mesi	Νέμεσις	*ne/mesis	urn:cite2:hmt:lsj.chicago_md:n70177	n-s---fv-
Νέμεσι	*ne/mesi	νέμεσις	ne/mesis	urn:cite2:hmt:lsj.chicago_md:n70177	n-s---fv-
Νέμεσι	*ne/mesi	νέμος	ne/mos	urn:cite2:hmt:lsj.chicago_md:n70187	n-p---nd-
Περσεφόνης	*persefo/nhs	Περσεφόνη	*persefo/nh	urn:cite2:hmt:lsj.chicago_md:n82662	n-s---fg-
Πυθικοῖσιν	*puqikoi=sin	Πυθικός	*puqiko/s	urn:cite2:hmt:lsj.chicago_md:n91368	a-p---md-
Πυθικοῖσιν	*puqikoi=sin	Πυθικός	*puqiko/s	urn:cite2:hmt:lsj.chicago_md:n91368	a-p---nd-
Πυθικόν	*puqiko/n	Πυθικός	*puqiko/s	urn:cite2:hmt:lsj.chicago_md:n91368	a-s---ma-
Πυθικόν	*puqiko/n	Πυθικός	*puqiko/s	urn:cite2:hmt:lsj.chicago_md:n91368	a-s---nn-
Πυθικόν	*puqiko/n	Πυθικός	*puqiko/s	urn:cite2:hmt:lsj.chicago_md:n91368	a-s---nv-
Πυθικόν	*puqiko/n	Πυθικός	*puqiko/s	urn:cite2:hmt:lsj.chicago_md:n91368	a-s---na-
Πέλοπος	*pe/lopos	Πέλοψ	*pe/loy	urn:cite2:hmt:lsj.chicago_md:n80508	n-s---mg-
Σπάρτης	*spa/rths	Σπάρτη	*spa/rth	urn:cite2:hmt:lsj.chicago_md:n95769	n-s---fg-
Σπάρτης	*spa/rths	Σπάρτη	*spa/rth	urn:cite2:hmt:lsj.chicago_md:n95770	n-s---fg-
Σπάρτης	*spa/rths	σπάρτη	spa/rth	urn:cite2:hmt:lsj.chicago_md:n95769	n-s---fg-
Σπάρτης	*spa/rths	σπάρτη	spa/rth	urn:cite2:hmt:lsj.chicago_md:n95770	n-s---fg-
Στρόφιος	*stro/fios	Στρόφιος	*stro/fios	urn:cite2:hmt:lsj.chicago_md:n97305	n-s---mn-
Στρόφιος	*stro/fios	στρόφιος	stro/fios	urn:cite2:hmt:lsj.chicago_md:n97305	n-s---mn-
Στρόφιος	*stro/fios	στρόφις	stro/fis	urn:cite2:hmt:lsj.chicago_md:n97307	n-s---mg-
Τροίᾳ	*troi/a|	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-s---fd-
Τροίᾳ	*troi/a|	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105484	n-s---fd-
Τροίᾳ	*troi/a|	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-s---fd-
Τροίᾳ	*troi/a|	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105484	n-s---fd-
Φοῖβε	*foi=be	Φοῖβος	*foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	n-s---mv-
Φοῖβε	*foi=be	φοῖβος	foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	a-s---mv-
Φοῖβος	*foi=bos	Φοῖβος	*foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	n-s---mn-
Φοῖβος	*foi=bos	φοῖβος	foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	a-s---mn-
Φωκεύς	*fwkeu/s	Φωκεύς	*fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-s---mn-
Φωκεύς	*fwkeu/s	φωκεύς	fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-s---mn-
Φωκέων	*fwke/wn	Φωκεύς	*fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-p---mg-
Φωκέων	*fwke/wn	Φωκεύς	*fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-p---mg-
Φωκέων	*fwke/wn	φώκη	fw/kh	urn:cite2:hmt:lsj.chicago_md:n112805	n-p---fg-
Φωκέων	*fwke/wn	φωκεύς	fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-p---mg-
Φωκέων	*fwke/wn	φωκεύς	fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-p---mg-
Φωκέως	*fwke/ws	Φωκεύς	*fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-s---mg-
Φωκέως	*fwke/ws	Φωκεύς	*fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-s---mg-
Φωκέως	*fwke/ws	Φωκεύς	*fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-s---mn-
Φωκέως	*fwke/ws	φωκεύς	fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-s---mg-
Φωκέως	*fwke/ws	φωκεύς	fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-s---mg-
Φωκέως	*fwke/ws	φωκεύς	fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-s---mn-
Φωκῆς	*fwkh=s	Φωκεύς	*fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-p---mn-
Φωκῆς	*fwkh=s	Φωκεύς	*fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-p---mn-
Φωκῆς	*fwkh=s	Φωκεύς	*fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-p---mv-
Φωκῆς	*fwkh=s	φωκεύς	fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-p---mn-
Φωκῆς	*fwkh=s	φωκεύς	fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-p---mn-
Φωκῆς	*fwkh=s	φωκεύς	fwkeu/s	urn:cite2:hmt:lsj.chicago_md:n112804	n-p---mv-
αἰανής	ai)anh/s	αἰανής	ai)anh/s	urn:cite2:hmt:lsj.chicago_md:n2108	n-s---mn-
αἰανής	ai)anh/s	αἰανής	ai)anh/s	urn:cite2:hmt:lsj.chicago_md:n2108	n-s---fn-
αἰαῖ	ai)ai=	αἰαῖ	ai)ai=	urn:cite2:hmt:lsj.chicago_md:n2105	x--------
αἰδώς	ai)dw/s	αἰδώς	ai)dw/s	urn:cite2:hmt:lsj.chicago_md:n2271	n-s---fn-
αἰεί	ai)ei/	ἀεί	a)ei/	urn:cite2:hmt:lsj.chicago_md:n1564	d--------
αἰκεῖς	ai)kei=s	ἀικής	a)ikh/s	urn:cite2:hmt:lsj.chicago_md:n2371	n-p---ma-
αἰκεῖς	ai)kei=s	ἀικής	a)ikh/s	urn:cite2:hmt:lsj.chicago_md:n2371	n-p---fa-
αἰκεῖς	ai)kei=s	ἀικής	a)ikh/s	urn:cite2:hmt:lsj.chicago_md:n2371	n-p---mn-
αἰκεῖς	ai)kei=s	ἀικής	a)ikh/s	urn:cite2:hmt:lsj.chicago_md:n2371	n-p---mv-
αἰκεῖς	ai)kei=s	ἀικής	a)ikh/s	urn:cite2:hmt:lsj.chicago_md:n2371	n-p---fn-
αἰκεῖς	ai)kei=s	ἀικής	a)ikh/s	urn:cite2:hmt:lsj.chicago_md:n2371	n-p---fv-
αἰκία	ai)ki/a	αἰκία	ai)ki/a	urn:cite2:hmt:lsj.chicago_md:n2372	n-d---fn-
αἰκία	ai)ki/a	αἰκία	ai)ki/a	urn:cite2:hmt:lsj.chicago_md:n2372	n-d---fv-
αἰκία	ai)ki/a	αἰκία	ai)ki/a	urn:cite2:hmt:lsj.chicago_md:n2372	n-d---fa-
αἰκία	ai)ki/a	αἰκία	ai)ki/a	urn:cite2:hmt:lsj.chicago_md:n2372	n-s---fn-
αἰκία	ai)ki/a	αἰκία	ai)ki/a	urn:cite2:hmt:lsj.chicago_md:n2372	n-s---fv-
αἰκίαις	ai)ki/ais	αἰκία	ai)ki/a	urn:cite2:hmt:lsj.chicago_md:n2372	n-p---fd-
αἰκῶς	ai)kw=s	ἀικής	a)ikh/s	urn:cite2:hmt:lsj.chicago_md:n2371	x--------
αἰσθάνει	ai)sqa/nei	αἰσθάνομαι	ai)sqa/nomai	urn:cite2:hmt:lsj.chicago_md:n2665	v2spim---
αἰσθέσθαι	ai)sqe/sqai	αἰσθάνομαι	ai)sqa/nomai	urn:cite2:hmt:lsj.chicago_md:n2665	v--anm---
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-p---md-
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-p---nd-
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-p---md-
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-p---fd-
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-p---nd-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-p---nn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-p---nv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-p---na-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-d---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-d---fv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-d---fa-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-s---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-s---fv-
