frequency	elided_form	expanded_form	presentation_form	turns
108	δ’	δέ	δέ	urn:cts:greekLit:tlg0011.tlg003.fu.sp:12.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:31.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:33.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:34.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:88.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:114.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:137.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:155.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:169.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:188.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:196.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:200.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:208.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:237.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:239.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:265.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:274.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:292.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:292.1.text.token.9,urn:cts:greekLit:tlg0011.tlg003.fu.sp:294.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:296.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:298.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:301.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:303.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:308.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:317.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:323.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:343.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:346.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:373.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:406.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:426.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:437.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:445.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:450.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:454.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:487.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:489.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:505.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:510.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:523.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:551.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:556.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:577.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:592.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:600.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:613.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:616.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:631.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:667.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:675.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:687.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:689.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:691.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:693.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:702.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:711.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:731.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:740.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:747.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:762.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:765.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:766.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:775.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:780.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:782.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:792.1.text.token.8,urn:cts:greekLit:tlg0011.tlg003.fu.sp:797.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:798.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:805.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:805.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:819.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:821.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:831.1.text.token.10,urn:cts:greekLit:tlg0011.tlg003.fu.sp:835.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:845.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:856.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:865.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:897.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:912.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:942.1.text.token.8,urn:cts:greekLit:tlg0011.tlg003.fu.sp:961.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1001.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1019.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1022.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1032.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1044.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1050.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1060.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1060.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1081.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1088.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1108.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1114.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1128.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1205.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1206.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1214.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1288.1.text.token.8,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1293.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1318.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1344.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1347.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1393.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1396.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1404.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1407.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1419.1.text.token.5
64	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0011.tlg003.fu.sp:23.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:76.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:83.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:94.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:162.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:167.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:186.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:193.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:263.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:321.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:328.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:344.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:415.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:469.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:479.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:506.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:520.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:529.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:535.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:548.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:565.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:574.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:578.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:630.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:640.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:648.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:654.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:660.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:664.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:684.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:733.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:743.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:778.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:810.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:852.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:853.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:877.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:890.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:949.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:972.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1040.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1048.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1064.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1077.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1084.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1107.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1113.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1141.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1145.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1164.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1183.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1234.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1244.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1250.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1252.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1257.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1271.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1286.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1338.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1351.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1370.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1400.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1403.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1413.1.text.token.3
25	τ’	τε	τε	urn:cts:greekLit:tlg0011.tlg003.fu.sp:34.1.text.token.8,urn:cts:greekLit:tlg0011.tlg003.fu.sp:35.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:297.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:379.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:381.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:413.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:461.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:492.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:538.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:563.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:567.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:569.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:647.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:653.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:674.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:679.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:688.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:717.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:773.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:843.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:848.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:861.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1009.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1039.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1390.1.text.token.2
21	σ’	σε	σε	urn:cts:greekLit:tlg0011.tlg003.fu.sp:7.1.text.token.9,urn:cts:greekLit:tlg0011.tlg003.fu.sp:11.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:112.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:368.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:428.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:492.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:525.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:556.1.text.token.8,urn:cts:greekLit:tlg0011.tlg003.fu.sp:560.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:825.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:831.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:940.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1024.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1027.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1172.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1176.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1293.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1325.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1331.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1374.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1381.1.text.token.6
20	γ’	γε	γε	urn:cts:greekLit:tlg0011.tlg003.fu.sp:111.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:182.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:441.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:469.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:472.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:531.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:535.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:715.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:812.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1068.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1070.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1123.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1127.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1132.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1150.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1268.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1312.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1342.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1369.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1409.1.text.token.6
17	ποτ’	ποτε	ποτε	urn:cts:greekLit:tlg0011.tlg003.fu.sp:128.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:282.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:320.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:341.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:411.1.text.token.8,urn:cts:greekLit:tlg0011.tlg003.fu.sp:430.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:463.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:607.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:800.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:905.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1070.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1073.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1093.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1142.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1158.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1290.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1355.1.text.token.7
16	τοῦδ’	τοῦδε	τοῦδε	urn:cts:greekLit:tlg0011.tlg003.fu.sp:61.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:446.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:789.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:904.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:962.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:969.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1025.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1029.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1033.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1061.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1310.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1321.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1346.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1376.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1389.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1394.1.text.token.4
16	ὧδ’		ὧδ’	urn:cts:greekLit:tlg0011.tlg003.fu.sp:40.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:191.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:196.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:281.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:378.1.text.token.8,urn:cts:greekLit:tlg0011.tlg003.fu.sp:384.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:430.1.text.token.7,urn:cts:greekLit:tlg0011.tlg003.fu.sp:440.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:449.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:489.1.text.token.8,urn:cts:greekLit:tlg0011.tlg003.fu.sp:981.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1227.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1236.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1304.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1333.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1356.1.text.token.6
16	μ’	με	με	urn:cts:greekLit:tlg0011.tlg003.fu.sp:18.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:103.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:351.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:396.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:397.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:400a.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:415.1.text.token.8,urn:cts:greekLit:tlg0011.tlg003.fu.sp:451.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:458.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:494.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:584.1.text.token.3,urn:cts:greekLit:tlg0011.tlg003.fu.sp:691.1.text.token.10,urn:cts:greekLit:tlg0011.tlg003.fu.sp:787.1.text.token.2,urn:cts:greekLit:tlg0011.tlg003.fu.sp:794.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:854.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1382.1.text.token.4
12	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0011.tlg003.fu.sp:428.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:439.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:628.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:676.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1103.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1118.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1242.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1251.1.text.token.1,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1268.1.text.token.6,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1307.1.text.token.4,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1345.1.text.token.5,urn:cts:greekLit:tlg0011.tlg003.fu.sp:1384.1.text.token.5
