Αἵμονος	*ai(/monos	Αἵμων	*ai(/mwn	n-s---mg-
Αἵμονος	*ai(/monos	αἵμων	ai(/mwn	n-s---mg-
Αἵμων	*ai(/mwn	Αἵμων	*ai(/mwn	n-s---mn-
Αἵμων	*ai(/mwn	Αἵμων	*ai(/mwn	n-s---mv-
Αἵμων	*ai(/mwn	Αἷμος	*ai(=mos	n-p---mg-
Αἵμων	*ai(/mwn	Αῖ̔μος	*ai=(mos	n-p---mg-
Αἵμων	*ai(/mwn	αἵμων	ai(/mwn	n-s---mn-
Αἵμων	*ai(/mwn	αἵμων	ai(/mwn	n-s---mv-
Αἷμον	*ai(=mon	Αἵμων	*ai(/mwn	n-s---mv-
Αἷμον	*ai(=mon	Αἷμος	*ai(=mos	n-s---ma-
Αἷμον	*ai(=mon	Αῖ̔μος	*ai=(mos	n-s---ma-
Αἷμον	*ai(=mon	αἵμων	ai(/mwn	n-s---mv-
Βακχεῦ	*bakxeu=	Βακχάω	*bakxa/w	v2spme---
Βακχεῦ	*bakxeu=	Βακχάω	*bakxa/w	v2siie---
Βακχεῦ	*bakxeu=	Βακχεύς	*bakxeu/s	n-s---mv-
Βακχεῦ	*bakxeu=	Βακχεύς	*bakxeu/s	n-s---mv-
Βακχίδες	*bakxi/des	Βακχίς	*bakxi/s	n-p---fn-
Βακχίδες	*bakxi/des	Βακχίς	*bakxi/s	n-p---fv-
Βακχίδες	*bakxi/des	Βακχίς	*bakxi/s	n-p---fn-
Βακχίδες	*bakxi/des	Βακχίς	*bakxi/s	n-p---fv-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppamv-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppann-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppanv-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppana-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppamn-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v--pna---
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v--pna---
Βοσπόριαι	*bospo/riai	Βοσπορία	*bospori/a	n-p---fn-
Βοσπόριαι	*bospo/riai	Βοσπορία	*bospori/a	n-p---fv-
Βοσπόριαι	*bospo/riai	βοσπόριος	bospo/rios	a-p---fn-
Βοσπόριαι	*bospo/riai	βοσπόριος	bospo/rios	a-p---fv-
Βάκχιος	*ba/kxios	Βάκχειος	*ba/kxeios	a-s---mn-
Βάκχιος	*ba/kxios	Βάκχειος	*ba/kxeios	a-s---mn-
Γᾶν	*ga=n	Γαῖα	*gai=a	n-s---fa-
Γᾶν	*ga=n	Γαῖα	*gai=a	n-s---fa-
Γᾶν	*ga=n	γῆ	gh=	n-s---fa-
Δανάας	*dana/as	Δανάη	*dana/h	n-s---fg-
Διονύσου	*dionu/sou	Διόνυσος	*dio/nusos	n-s---mg-
Διονύσου	*dionu/sou	Διονύσος	*dionu/sos	n-s---mg-
Διρκαίων	*dirkai/wn	Διρκαῖος	*dirkai=os	a-p---fg-
Διρκαίων	*dirkai/wn	Διρκαῖος	*dirkai=os	a-p---mg-
Διρκαίων	*dirkai/wn	Διρκαῖος	*dirkai=os	a-p---ng-
Διρκαίων	*dirkai/wn	δίρκαιον	di/rkaion	n-p---ng-
Διρκαῖαι	*dirkai=ai	Διρκαῖος	*dirkai=os	a-p---fn-
Διρκαῖαι	*dirkai=ai	Διρκαῖος	*dirkai=os	a-p---fv-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δρύαντος	*dru/antos	Δρύας	*dru/as	n-s---mg-
Δία	*di/a	Δίη	*di/h	n-s---fn-
Δία	*di/a	Δίη	*di/h	n-s---fv-
Δία	*di/a	Δίον	*di/on	n-p---nn-
Δία	*di/a	Δίον	*di/on	n-p---nv-
Δία	*di/a	Δίον	*di/on	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	n-s---ma-
Δία	*di/a	δῖος	di=os	a-d---fn-
Δία	*di/a	δῖος	di=os	a-d---fv-
Δία	*di/a	δῖος	di=os	a-d---fa-
Δία	*di/a	δῖος	di=os	a-s---fn-
Δία	*di/a	δῖος	di=os	a-s---fv-
Δίκας	*di/kas	Δίκη	*di/kh	n-p---fa-
Δίκας	*di/kas	Δίκη	*di/kh	n-s---fg-
Δίκας	*di/kas	δίκη	di/kh	n-p---fa-
Δίκας	*di/kas	δίκη	di/kh	n-s---fg-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fn-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fv-
Δίκη	*di/kh	δίκη	di/kh	n-s---fn-
Δίκη	*di/kh	δίκη	di/kh	n-s---fv-
Δῃοῦς	*dh|ou=s	δηιόω	dhio/w	v2spia---
Δῃοῦς	*dh|ou=s	δηιόω	dhio/w	v2spia---
Εὐρυδίκην	*eu)rudi/khn	Εὐρυδίκη	*eu)rudi/kh	n-s---fa-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Ζηνί	*zhni/	Ζεύς	*zeu/s	n-s---md-
Ζηνός	*zhno/s	Ζεύς	*zeu/s	n-s---mg-
Θηβαΐας	*qhbai+/as	Θηβαῖος	*qhbai=os	a-p---fa-
Θηβαΐας	*qhbai+/as	Θηβαῖος	*qhbai=os	a-s---fg-
Θρῃκῶν	*qrh|kw=n	Θρᾷξ	*qra=|c	n-p---mg-
Θρῃκῶν	*qrh|kw=n	Θρᾳκία	*qra|ki/a	n-p---fg-
Θυίαισιν	*qui/aisin	Θυία	*qui/a	n-p---fd-
Θυίαισιν	*qui/aisin	Θυίη	*qui/h	n-p---fd-
Θυίαισιν	*qui/aisin	θυία	qui/a	n-p---fd-
Θήβαν	*qh/ban	Θήβη	*qh/bh	n-s---fa-
Θήβας	*qh/bas	Θήβη	*qh/bh	n-s---fg-
Θήβας	*qh/bas	Θῆβαι	*qh=bai	n-p---fa-
Θήβης	*qh/bhs	Θήβη	*qh/bh	n-s---fg-
Θήβᾳ	*qh/ba|	Θήβη	*qh/bh	n-s---fd-
Καδμείαν	*kadmei/an	Καδμεῖος	*kadmei=os	a-s---fa-
Καδμείαν	*kadmei/an	Καδμεῖος	*kadmei=os	a-s---fa-
Καδμείας	*kadmei/as	Καδμεῖος	*kadmei=os	a-p---fa-
Καδμείας	*kadmei/as	Καδμεῖος	*kadmei=os	a-s---fg-
Καδμείας	*kadmei/as	Καδμεῖος	*kadmei=os	a-p---fa-
Καδμείας	*kadmei/as	Καδμεῖος	*kadmei=os	a-s---fg-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	a-p---fg-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	a-p---mg-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	a-p---ng-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	a-p---fg-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	a-p---mg-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	a-p---ng-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	n-s---mn-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	n-s---mv-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	n-s---fn-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	n-s---fv-
Κασταλίας	*kastali/as	Κασταλία	*kastali/a	n-p---fa-
Κασταλίας	*kastali/as	Κασταλία	*kastali/a	n-s---fg-
Κρέον	*kre/on	Κρέων	*kre/wn	n-s---mv-
Κρέον	*kre/on	κρέων	kre/wn	n-s---mv-
Κρέον	*kre/on	κρείων	krei/wn	n-s---mv-
Κρέοντα	*kre/onta	Κρέων	*kre/wn	n-s---ma-
Κρέοντα	*kre/onta	κρέων	kre/wn	n-s---ma-
Κρέοντα	*kre/onta	κρείων	krei/wn	n-s---ma-
Κρέοντι	*kre/onti	Κρέων	*kre/wn	n-s---md-
Κρέοντι	*kre/onti	κρέων	kre/wn	n-s---md-
Κρέοντι	*kre/onti	κρείων	krei/wn	n-s---md-
Κρέοντος	*kre/ontos	Κρέων	*kre/wn	n-s---mg-
Κρέοντος	*kre/ontos	κρέων	kre/wn	n-s---mg-
Κρέοντος	*kre/ontos	κρείων	krei/wn	n-s---mg-
Κρέοντ’	*kre/ont'	Κρέων	*kre/wn	n-s---ma-
Κρέοντ’	*kre/ont'	Κρέων	*kre/wn	n-s---md-
Κρέοντ’	*kre/ont'	Κρέων	*kre/wn	n-d---mn-
Κρέοντ’	*kre/ont'	Κρέων	*kre/wn	n-d---mv-
Κρέοντ’	*kre/ont'	Κρέων	*kre/wn	n-d---ma-
Κρέοντ’	*kre/ont'	κρέων	kre/wn	n-s---ma-
Κρέοντ’	*kre/ont'	κρέων	kre/wn	n-s---md-
Κρέοντ’	*kre/ont'	κρέων	kre/wn	n-d---mn-
Κρέοντ’	*kre/ont'	κρέων	kre/wn	n-d---mv-
Κρέοντ’	*kre/ont'	κρέων	kre/wn	n-d---ma-
Κρέοντ’	*kre/ont'	κρείων	krei/wn	n-s---ma-
Κρέοντ’	*kre/ont'	κρείων	krei/wn	n-s---md-
Κρέοντ’	*kre/ont'	κρείων	krei/wn	n-d---mn-
Κρέοντ’	*kre/ont'	κρείων	krei/wn	n-d---mv-
Κρέοντ’	*kre/ont'	κρείων	krei/wn	n-d---ma-
Κρέων	*kre/wn	Κρέων	*kre/wn	n-s---mn-
Κρέων	*kre/wn	κρέων	kre/wn	n-s---mn-
Κρέων	*kre/wn	κρείων	krei/wn	n-s---mn-
Κυανεᾶν	*kuanea=n	Κυάνεαι	*kua/neai	n-p---fg-
Κυανεᾶν	*kuanea=n	Κυάνεαι	*kua/neai	n-p---fg-
Κυανεᾶν	*kuanea=n	κυάνεος	kua/neos	a-p---mg-
Κυανεᾶν	*kuanea=n	κυάνεος	kua/neos	a-p---fg-
Κυανεᾶν	*kuanea=n	κυάνεος	kua/neos	a-p---mg-
Κυανεᾶν	*kuanea=n	κυάνεος	kua/neos	a-p---fg-
Κωρύκιαι	*kwru/kiai	Κωρύκιος	*kwru/kios	a-p---fn-
Κωρύκιαι	*kwru/kiai	Κωρύκιος	*kwru/kios	a-p---fv-
Κάδμου	*ka/dmou	Κάδμος	*ka/dmos	n-s---mg-
Λαβδακιδᾶν	*labdakida=n	Λαβδακίδαι-πλ	*labdaki/dai-pl	n-p---mg-
Λαβδακίδαισιν	*labdaki/daisin	Λαβδακίδαι-πλ	*labdaki/dai-pl	n-p---md-
Λαΐου	*lai+/ou	Λάϊος	*la/i+os	n-s---mg-
Λαΐου	*lai+/ou	Λαΐης	*lai/+hs	n-s---mg-
Λαΐου	*lai+/ou	Λαΐος	*lai/+os	n-s---mg-
Λαΐου	*lai+/ou	λήιον	lh/ion	n-s---ng-
Μεγαρέως	*megare/ws	Μεγαρεύς	*megareu/s	n-s---mg-
Μεγαρέως	*megare/ws	Μεγαρεύς	*megareu/s	n-s---mg-
Μεγαρέως	*megare/ws	Μεγαρεύς	*megareu/s	n-s---mn-
