Αἰγίσθου	*ai)/gisqos	none-found	n-s---mg-
Αἰγίσθῳ	*ai)/gisqos	none-found	n-s---md-
Αἰνιάν	*ai)nia/n	none-found	n-s---mn-
Αἰνιάν	*ai)nia/n	none-found	n-s---mv-
Αἰνιᾶνος	*ai)nia/n	none-found	n-s---mg-
Αἰτωλίας	*ai)twli/h	none-found	n-p---fa-
Αἰτωλίας	*ai)twli/h	none-found	n-s---fg-
Αἴγισθε	*ai)/gisqos	none-found	n-s---mv-
Αἴγισθον	*ai)/gisqos	none-found	n-s---ma-
Αἴγισθος	*ai)/gisqos	none-found	n-s---mn-
Αἴγισθόν	*ai)/gisqos	none-found	n-s---ma-
Βαρκαίοις	*barkai=oi	none-found	n-p---md-
Βαρκαίοις	*barkai=os	none-found	n-p---md-
Βαρκαίοις	*barkai=os	none-found	a-p---md-
Βαρκαίοις	*barkai=os	none-found	a-p---nd-
Δελφικῶν	*delfiko/s	none-found	a-p---fg-
Δελφικῶν	*delfiko/s	none-found	a-p---mg-
Δελφικῶν	*delfiko/s	none-found	a-p---ng-
Κλυταιμνήστρα	*klutaimnh/stra	none-found	n-d---fn-
Κλυταιμνήστρα	*klutaimnh/stra	none-found	n-d---fv-
Κλυταιμνήστρα	*klutaimnh/stra	none-found	n-d---fa-
Κλυταιμνήστρα	*klutaimnh/stra	none-found	n-s---fn-
Κλυταιμνήστρα	*klutaimnh/stra	none-found	n-s---fv-
Κλυταιμνήστρα	*klutaimnh/strh	none-found	n-s---fn-
Κλυταιμνήστρα	*klutaimnh/strh	none-found	n-s---fv-
Κρισαῖον	*krisai=os	none-found	a-s---ma-
Κρισαῖον	*krisai=os	none-found	a-s---nn-
Κρισαῖον	*krisai=os	none-found	a-s---nv-
Κρισαῖον	*krisai=os	none-found	a-s---na-
Λητῴα	*lhtw=|os	none-found	a-s---fn-
Λητῴα	*lhtw=|os	none-found	a-s---fv-
Λύκει’	*lukei/h	none-found	n-p---fn-
Λύκει’	*lukei/h	none-found	n-p---fv-
Μυκηναίοισιν	*mukhnai=os	none-found	a-p---md-
Μυκηναίοισιν	*mukhnai=os	none-found	a-p---nd-
Μυκηναίων	*mukhnai=os	none-found	a-p---fg-
Μυκηναίων	*mukhnai=os	none-found	a-p---mg-
Μυκηναίων	*mukhnai=os	none-found	a-p---ng-
Μυρτίλος	*murti/los	none-found	n-s---mn-
Νιόβα	*nio/bh	none-found	n-s---fn-
Νιόβα	*nio/bh	none-found	n-s---fv-
Πελοπιδῶν	*pelopi/dhs	none-found	n-p---mg-
Πυλάδη	*pula/dhs	none-found	n-s---mv-
Φανοτεύς	*fanoteu/s	none-found	n-s---mn-
Φανοτέως	*fanoteu/s	none-found	n-s---mg-
Φανοτέως	*fanoteu/s	none-found	n-s---mg-
Φανοτέως	*fanoteu/s	none-found	n-s---mn-
Φωκῆς	*fwka=s	none-found	n-s---mn-
Χρυσόθεμιν	*xruso/qemis	none-found	n-s---fa-
Χρυσόθεμιν	*xruso/qemis	none-found	n-s---fa-
Χρυσόθεμις	*xruso/qemis	none-found	n-s---fn-
Χρυσόθεμις	*xruso/qemis	none-found	n-s---fn-
βουλευτέον	bouleute/os	none-found	n-s---ma-
βουλευτέον	bouleute/os	none-found	n-s---fa-
βουλευτέον	bouleute/os	none-found	n-s---nn-
βουλευτέον	bouleute/os	none-found	n-s---nv-
βουλευτέον	bouleute/os	none-found	n-s---na-
βοᾶν	boei/h	none-found	n-s---fa-
βοᾷ	boei/h	none-found	n-s---fd-
βοῆς	boei/h	none-found	n-s---fg-
βοῇ	boei/h	none-found	n-s---fd-
δοκῶ	doko/n	none-found	n-s---ng-
δωμάτων	dwmato/w	none-found	v3piia---
δωμάτων	dwmato/w	none-found	v1siia---
δωρούμεθα	dwre/omai	none-found	v1ppie---
δωρούμεθα	dwre/omai	none-found	v1piie---
δωροῦνται	dwre/omai	none-found	v3ppie---
εἰσιδεῖν	ei)s-i)de/w	none-found	v--pna---
εὔνουν	eu)/nous	none-found	n-s---ma-
εὔνουν	eu)/nous	none-found	n-s---fa-
εὔνουν	eu)/nous	none-found	n-s---nn-
εὔνουν	eu)/nous	none-found	n-s---nv-
εὔνουν	eu)/nous	none-found	n-s---na-
ζῴης	zwh/	none-found	n-s---fg-
θανεῖν	qnh/skw	none-found	v--ana---
θανουμένην	qnh/skw	none-found	v-sfpmfa-
θανούσαιν	qnh/skw	none-found	v-dapafg-
θανούσαιν	qnh/skw	none-found	v-dapafd-
θανοῦσα	qnh/skw	none-found	v-sapafn-
θανοῦσα	qnh/skw	none-found	v-sapafv-
θανοῦσιν	qnh/skw	none-found	v-papamd-
θανοῦσιν	qnh/skw	none-found	v-papand-
θανοῦσά	qnh/skw	none-found	v-sapafn-
θανοῦσά	qnh/skw	none-found	v-sapafv-
θανόντα	qnh/skw	none-found	v-papann-
θανόντα	qnh/skw	none-found	v-papanv-
θανόντα	qnh/skw	none-found	v-papana-
θανόντα	qnh/skw	none-found	v-sapama-
θανόντας	qnh/skw	none-found	v-papama-
θανόντες	qnh/skw	none-found	v-papamn-
θανόντες	qnh/skw	none-found	v-papamv-
θανόντι	qnh/skw	none-found	v-sapamd-
θανόντι	qnh/skw	none-found	v-sapand-
θανόντος	qnh/skw	none-found	v-sapamg-
θανόντος	qnh/skw	none-found	v-sapang-
θανόντ’	qnh/skw	none-found	v-papann-
θανόντ’	qnh/skw	none-found	v-papanv-
θανόντ’	qnh/skw	none-found	v-papana-
θανόντ’	qnh/skw	none-found	v-sapama-
θανόντ’	qnh/skw	none-found	v-sapamd-
θανόντ’	qnh/skw	none-found	v-sapand-
θανόντ’	qnh/skw	none-found	v-dapamn-
θανόντ’	qnh/skw	none-found	v-dapamv-
θανόντ’	qnh/skw	none-found	v-dapama-
θανόντ’	qnh/skw	none-found	v-dapann-
θανόντ’	qnh/skw	none-found	v-dapanv-
θανόντ’	qnh/skw	none-found	v-dapana-
θανών	qnh/skw	none-found	v-sapamn-
θνῄσκειν	qnh/skw	none-found	v--pna---
θνῄσκοντας	qnh/skw	none-found	v-pppama-
θνῄσκοντος	qnh/skw	none-found	v-sppamg-
θνῄσκοντος	qnh/skw	none-found	v-sppang-
θυραίαν	qurai/a	none-found	n-s---fa-
θάνοις	qnh/skw	none-found	v2saoa---
θάνῃ	qnh/skw	none-found	v2sase---
θάνῃ	qnh/skw	none-found	v3sasa---
θάνῃς	qnh/skw	none-found	v2sasa---
θέα	qeon	none-found	n-p---nn-
θέα	qeon	none-found	n-p---nv-
θέα	qeon	none-found	n-p---na-
κακᾷ	kaka/zw	none-found	v2sfim---
κακᾷ	kaka/zw	none-found	v3sfia---
κακῆς	kaka/zw	none-found	v2sfia---
κακῶν	kaka/zw	none-found	v-sfpamv-
κακῶν	kaka/zw	none-found	v-sfpann-
κακῶν	kaka/zw	none-found	v-sfpanv-
κακῶν	kaka/zw	none-found	v-sfpana-
κακῶν	kaka/zw	none-found	v-sfpamn-
κακῷ	kaka/zw	none-found	v3sfoa---
κατασχήσει	katasxa/w	none-found	v3sasa---
κατασχήσει	katasxa/w	none-found	v2sfim---
κατασχήσει	katasxa/w	none-found	v3sfia---
κατηνθρακωμένον	katanqrako/omai	none-found	v-srpema-
κατηνθρακωμένον	katanqrako/omai	none-found	v-srpenn-
κατηνθρακωμένον	katanqrako/omai	none-found	v-srpenv-
κατηνθρακωμένον	katanqrako/omai	none-found	v-srpena-
καίτοι	kai/toi	none-found	g--------
κοὔτ’	ou)/ti	none-found	d--------
κἀνακωχεύει	a)nakwxeu/w	none-found	v2spie---
κἀνακωχεύει	a)nakwxeu/w	none-found	v3spia---
κἀπέδειξαν	e)pidei/knumi	none-found	v3paia---
κάτω	kato/w	none-found	v2spma---
κάτω	kato/w	none-found	v3siia---
λυκοκτόνου	lukokto/non	none-found	n-s---ng-
λίσσομαι	li/zw	none-found	v1sasm---
λίσσομαι	li/zw	none-found	v1sfim---
μεμιγμένων	mi/gnumi	none-found	v-prpefg-
μεμιγμένων	mi/gnumi	none-found	v-prpemg-
μεμιγμένων	mi/gnumi	none-found	v-prpeng-
μεμιγμένων	mi/gnumi	none-found	v-prpefg-
μεμιγμένων	mi/gnumi	none-found	v-prpemg-
μεμιγμένων	mi/gnumi	none-found	v-prpeng-
μεμιγμένων	mi/gnumi	none-found	v-prpefg-
μεμιγμένων	mi/gnumi	none-found	v-prpemg-
μεμιγμένων	mi/gnumi	none-found	v-prpeng-
μορφῆς	morfa/w	none-found	v2spia---
μορφῆς	morfa/w	none-found	v2spia---
μάλισθ’	ma/lista	none-found	d--------
μάλιστα	ma/lista	none-found	d--------
μάλιστά	ma/lista	none-found	d--------
μάλιστ’	ma/lista	none-found	d--------
νεανίαν	neani/hs	none-found	n-s---ma-
νεανίαν	neani/hs	none-found	n-s---ma-
οἴκτιρε	oi)ktei/rw	none-found	v2spma---
οἴκτιρε	oi)ktei/rw	none-found	v3siia---
οἴκτιρε	oi)ktei/rw	none-found	v3saia---
οὔθ’	ou)/ti	none-found	d--------
οὔτ’	ou)/ti	none-found	d--------
παγχρύσων	pa/gxrusos	none-found	n-p---mg-
παγχρύσων	pa/gxrusos	none-found	n-p---fg-
παγχρύσων	pa/gxrusos	none-found	n-p---ng-
πελᾶν	pelo/s	none-found	a-p---mg-
πελᾶν	pelo/s	none-found	a-p---fg-
πολύπους	polu/pos	none-found	n-p---ma-
πορών	po/rw	none-found	v-sapamn-
προυφάνης	pro/-u(fana/w	none-found	v2siia---
προυφάνης	pro/-u(fana/w	none-found	v2siia---
προυφάνης	pro/-u(fana/w	none-found	v2siia---
προυφάνης	pro/-u(fana/w	none-found	v2spia---
προυφάνης	pro/-u(fana/w	none-found	v2siia---
πάγκλαυτον	pa/gklautos	none-found	n-s---ma-
πάγκλαυτον	pa/gklautos	none-found	n-s---fa-
πάγκλαυτον	pa/gklautos	none-found	n-s---nn-
πάγκλαυτον	pa/gklautos	none-found	n-s---nv-
πάγκλαυτον	pa/gklautos	none-found	n-s---na-
πόροι	po/rw	none-found	v3saoa---
σεσωσμένον	sw/zw	none-found	v-srpema-
σεσωσμένον	sw/zw	none-found	v-srpenn-
σεσωσμένον	sw/zw	none-found	v-srpenv-
σεσωσμένον	sw/zw	none-found	v-srpena-
σοῖς	se/w	none-found	v2spoa---
σοῦ	se/w	none-found	v2spme---
σοῦ	se/w	none-found	v2siie---
σταθμοῖσι	staqmo/w	none-found	v-pppamd-
σταθμοῖσι	staqmo/w	none-found	v-pppand-
σταθμοῖσι	staqmo/w	none-found	v3spsa---
σταθμοῖσι	staqmo/w	none-found	v3ppia---
στρατοῦ	strata/w%	none-found	v2spme---
στρατῷ	strata/w%	none-found	v3spoa---
σχοῦσα	sxa/w	none-found	v-sppafn-
σχοῦσα	sxa/w	none-found	v-sppafv-
σχήσει	sxa/w	none-found	v3sasa---
σχήσει	sxa/w	none-found	v2sfim---
σχήσει	sxa/w	none-found	v3sfia---
σχήσω	sxa/w	none-found	v1sasa---
σχήσω	sxa/w	none-found	v1sfia---
σχήσω	sxa/w	none-found	v2saim---
σωθῶ	sw/zw	none-found	v1sasp---
σέβειν	se/bw	none-found	v--pna---
σύνηθες	su/n-h)qe/w	none-found	v2siia---
σῆς	se/w	none-found	v2spia---
σῆς	se/w	none-found	v2siia---
σῇ	se/w	none-found	v2spse---
σῇ	se/w	none-found	v2spie---
σῇ	se/w	none-found	v3spsa---
σῳζέσθω	sw/zw	none-found	v3spme---
σῴζεται	sw/zw	none-found	v3spie---
σῴζου	sw/zw	none-found	v2spme---
σῴζου	sw/zw	none-found	v2siie---
σῴζω	sw/zw	none-found	v1spsa---
σῴζω	sw/zw	none-found	v1spia---
σῶμ’	se/w	none-found	v1spsa---
σῶμ’	se/w	none-found	v1spse---
σῶν	se/w	none-found	v-sppamn-
ταὐτῷ	tau)ta/zw	none-found	v3sfoa---
ταύτῃ	tau/th|	none-found	d--------
τεθνηκότα	qnh/skw	none-found	v-prpann-
τεθνηκότα	qnh/skw	none-found	v-prpanv-
τεθνηκότα	qnh/skw	none-found	v-prpana-
τεθνηκότα	qnh/skw	none-found	v-srpama-
τεθνηκότι	qnh/skw	none-found	v-srpamd-
τεθνηκότι	qnh/skw	none-found	v-srpand-
τεθνηκότος	qnh/skw	none-found	v-srpamg-
τεθνηκότος	qnh/skw	none-found	v-srpang-
τηλικοῦτος	thlikou=tos	none-found	n-s---mn-
τηλικοῦτος	thlikou=tos	none-found	n-s---fn-
τηλικοῦτος	thlikou=tos	none-found	n-s---mn-
τοὔργον	e)/rgnumi	none-found	v-sppamv-
τοὔργον	e)/rgnumi	none-found	v-sppann-
τοὔργον	e)/rgnumi	none-found	v-sppanv-
τοὔργον	e)/rgnumi	none-found	v-sppana-
τροφῆς	trofe/w	none-found	v2spia---
τάχιστα	ta/xistos	none-found	a-p---nn-
τάχιστα	ta/xistos	none-found	a-p---nv-
τάχιστα	ta/xistos	none-found	a-p---na-
τέθνηκεν	qnh/skw	none-found	v3sria---
τέθνηκεν	qnh/skw	none-found	v3plia---
τέθνηκ’	qnh/skw	none-found	v1sria---
τέθνηκ’	qnh/skw	none-found	v2srma---
τέθνηκ’	qnh/skw	none-found	v3sria---
τῇδε	th=|de	none-found	d--------
τῇδ’	th=|de	none-found	d--------
φθίνει	fqine/w	none-found	v2spma---
φθίνει	fqine/w	none-found	v3siia---
φύσας	fu/sas	none-found	v-sapamn-
φύσας	fu/sas	none-found	v-sapamv-
χαρίζεσθαι	xari/zomai	none-found	v--pne---
ἀκλαύστῳ	a)/klaustos	none-found	n-s---md-
ἀκλαύστῳ	a)/klaustos	none-found	n-s---fd-
ἀκλαύστῳ	a)/klaustos	none-found	n-s---nd-
ἀκουστέα	a)kouste/os	none-found	n-p---nn-
ἀκουστέα	a)kouste/os	none-found	n-p---nv-
ἀκουστέα	a)kouste/os	none-found	n-p---na-
ἀκουστέα	a)kouste/os	none-found	n-p---nn-
ἀκουστέα	a)kouste/os	none-found	n-p---nv-
ἀκουστέα	a)kouste/os	none-found	n-p---na-
ἀκουστέα	a)kouste/os	none-found	n-d---fn-
