’	'	ἒ	e)\	x--------
Αἰαντίδην	*ai)anti/dhn	Αἰαντίδης	*ai)anti/dhs	n-s---ma-
Αἰαντίδῃ	*ai)anti/dh|	Αἰαντίδης	*ai)anti/dhs	n-s---md-
Αἰγαίῳ	*ai)gai/w|	Αἰγαῖος	*ai)gai=os	a-s---md-
Αἰγαίῳ	*ai)gai/w|	Αἰγαῖος	*ai)gai=os	a-s---nd-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---ma-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---nn-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---nv-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---na-
Αἰγιναίαν	*ai)ginai/an	Αἰγιναίη	*ai)ginai/h	n-s---fa-
Αἰγιναίαν	*ai)ginai/an	Αἰγιναῖος	*ai)ginai=os	a-s---fa-
Αἰγιναίους	*ai)ginai/ous	Αἰγιναῖος	*ai)ginai=os	a-p---ma-
Αἰγινητῶν	*ai)ginhtw=n	Αἰγινήτης	*ai)ginh/ths	n-p---mg-
Αἰγινήταις	*ai)ginh/tais	Αἰγινήτης	*ai)ginh/ths	n-p---md-
Αἰγινήτας	*ai)ginh/tas	Αἰγινήτης	*ai)ginh/ths	n-p---ma-
Αἰγινήτας	*ai)ginh/tas	Αἰγινήτης	*ai)ginh/ths	n-s---mn-
Αἰγινῆται	*ai)ginh=tai	Αἰγινήτης	*ai)ginh/ths	n-p---mn-
Αἰγινῆται	*ai)ginh=tai	Αἰγινήτης	*ai)ginh/ths	n-p---mv-
Αἰγινῆταί	*ai)ginh=tai/	Αἰγινήτης	*ai)ginh/ths	n-p---mn-
Αἰγινῆταί	*ai)ginh=tai/	Αἰγινήτης	*ai)ginh/ths	n-p---mv-
Αἰγιτίου	*ai)giti/ou	Αἰγίτιον	*ai)gi/tion	n-s---ng-
Αἰγυπτίους	*ai)gupti/ous	Αἰγύπτιος	*ai)gu/ptios	a-p---ma-
Αἰγυπτίους	*ai)gupti/ous	Αἰγυπτιόω	*ai)guptio/w	v2siia---
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---fg-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---mg-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---ng-
Αἰγυπτίων	*ai)gupti/wn	Αἰγυπτιόω	*ai)guptio/w	v3piia---
Αἰγυπτίων	*ai)gupti/wn	Αἰγυπτιόω	*ai)guptio/w	v1siia---
Αἰγάλεων	*ai)ga/lewn	Αἰγάλευς	*ai)ga/leus	n-p---mg-
Αἰγίνης	*ai)gi/nhs	Αἴγινα	*ai)/gina	n-s---fg-
Αἰγίνης	*ai)gi/nhs	αἰγίνη	ai)gi/nh	n-s---fg-
Αἰγίνῃ	*ai)gi/nh|	Αἴγινα	*ai)/gina	n-s---fd-
Αἰγίνῃ	*ai)gi/nh|	αἰγίνη	ai)gi/nh	n-s---fd-
Αἰγίτιον	*ai)gi/tion	Αἰγίτιον	*ai)gi/tion	n-s---nn-
Αἰγίτιον	*ai)gi/tion	Αἰγίτιον	*ai)gi/tion	n-s---nv-
Αἰγίτιον	*ai)gi/tion	Αἰγίτιον	*ai)gi/tion	n-s---na-
Αἰγύπτιοι	*ai)gu/ptioi	Αἰγύπτιος	*ai)gu/ptios	a-p---mn-
Αἰγύπτιοι	*ai)gu/ptioi	Αἰγύπτιος	*ai)gu/ptios	a-p---mv-
