frequency	elided_form	expanded_form	presentation_form	turns
15	γ’	γε	γε	urn:cts:fuTeaching:blackwell.hq.2026:8.3.token.7,urn:cts:fuTeaching:blackwell.hq.2026:8.7.token.21,urn:cts:fuTeaching:blackwell.hq.2026:8.8.token.15,urn:cts:fuTeaching:blackwell.hq.2026:8.23.token.12,urn:cts:fuTeaching:blackwell.hq.2026:9.11.token.24,urn:cts:fuTeaching:blackwell.hq.2026:9.30.token.2,urn:cts:fuTeaching:blackwell.hq.2026:10.4.token.35,urn:cts:fuTeaching:blackwell.hq.2026:10.5.token.7,urn:cts:fuTeaching:blackwell.hq.2026:11.26.token.8,urn:cts:fuTeaching:blackwell.hq.2026:12.23.token.21,urn:cts:fuTeaching:blackwell.hq.2026:14.1.token.24,urn:cts:fuTeaching:blackwell.hq.2026:14.13.token.8,urn:cts:fuTeaching:blackwell.hq.2026:18.13.token.2,urn:cts:fuTeaching:blackwell.hq.2026:19.14.token.6,urn:cts:fuTeaching:blackwell.hq.2026:19.31.token.3
12	ἀλλ’	ἀλλά	ἀλλά	urn:cts:fuTeaching:blackwell.hq.2026:5.4.token.22,urn:cts:fuTeaching:blackwell.hq.2026:5.7.token.14,urn:cts:fuTeaching:blackwell.hq.2026:8.8.token.13,urn:cts:fuTeaching:blackwell.hq.2026:8.27.token.15,urn:cts:fuTeaching:blackwell.hq.2026:10.1.token.12,urn:cts:fuTeaching:blackwell.hq.2026:10.20.token.22,urn:cts:fuTeaching:blackwell.hq.2026:11.3.token.7,urn:cts:fuTeaching:blackwell.hq.2026:11.16.token.10,urn:cts:fuTeaching:blackwell.hq.2026:12.12.token.19,urn:cts:fuTeaching:blackwell.hq.2026:12.16.token.10,urn:cts:fuTeaching:blackwell.hq.2026:12.23.token.10,urn:cts:fuTeaching:blackwell.hq.2026:13.4.token.20
10	ὑπ’	ὑπό	ὑπό	urn:cts:fuTeaching:blackwell.hq.2026:8.9.token.9,urn:cts:fuTeaching:blackwell.hq.2026:8.17.token.30,urn:cts:fuTeaching:blackwell.hq.2026:9.14.token.9,urn:cts:fuTeaching:blackwell.hq.2026:11.16.token.22,urn:cts:fuTeaching:blackwell.hq.2026:12.4.token.18,urn:cts:fuTeaching:blackwell.hq.2026:12.16.token.17,urn:cts:fuTeaching:blackwell.hq.2026:12.17.token.29,urn:cts:fuTeaching:blackwell.hq.2026:13.10.token.17,urn:cts:fuTeaching:blackwell.hq.2026:15.25.token.17,urn:cts:fuTeaching:blackwell.hq.2026:20.28.token.23
10	τ’	τε	τε	urn:cts:fuTeaching:blackwell.hq.2026:8.25.token.15,urn:cts:fuTeaching:blackwell.hq.2026:15.5.token.16,urn:cts:fuTeaching:blackwell.hq.2026:15.7.token.18,urn:cts:fuTeaching:blackwell.hq.2026:15.14.token.12,urn:cts:fuTeaching:blackwell.hq.2026:15.20.token.14,urn:cts:fuTeaching:blackwell.hq.2026:15.26.token.18,urn:cts:fuTeaching:blackwell.hq.2026:16.26.token.9,urn:cts:fuTeaching:blackwell.hq.2026:16.31.token.13,urn:cts:fuTeaching:blackwell.hq.2026:17.25.token.9,urn:cts:fuTeaching:blackwell.hq.2026:19.13.token.5
6	οὔτ’		οὔτ’	urn:cts:fuTeaching:blackwell.hq.2026:9.6.token.3,urn:cts:fuTeaching:blackwell.hq.2026:9.7.token.13,urn:cts:fuTeaching:blackwell.hq.2026:11.10.token.14,urn:cts:fuTeaching:blackwell.hq.2026:12.23.token.13,urn:cts:fuTeaching:blackwell.hq.2026:16.12.token.8,urn:cts:fuTeaching:blackwell.hq.2026:16.27.token.16
5	ταῦτ’	ταῦτα	ταῦτα	urn:cts:fuTeaching:blackwell.hq.2026:9.29.token.2,urn:cts:fuTeaching:blackwell.hq.2026:10.3.token.22,urn:cts:fuTeaching:blackwell.hq.2026:10.13.token.26,urn:cts:fuTeaching:blackwell.hq.2026:11.6.token.33,urn:cts:fuTeaching:blackwell.hq.2026:11.11.token.3
5	δ’	δέ	δέ	urn:cts:fuTeaching:blackwell.hq.2026:9.14.token.7,urn:cts:fuTeaching:blackwell.hq.2026:13.19.token.17,urn:cts:fuTeaching:blackwell.hq.2026:14.11.token.9,urn:cts:fuTeaching:blackwell.hq.2026:15.16.token.11,urn:cts:fuTeaching:blackwell.hq.2026:20.32.token.19
5	ποτ’	ποτε	ποτε	urn:cts:fuTeaching:blackwell.hq.2026:10.6.token.17,urn:cts:fuTeaching:blackwell.hq.2026:11.7.token.8,urn:cts:fuTeaching:blackwell.hq.2026:11.10.token.16,urn:cts:fuTeaching:blackwell.hq.2026:12.23.token.15,urn:cts:fuTeaching:blackwell.hq.2026:13.3.token.2
3	χρήματ’		χρήματ’	urn:cts:fuTeaching:blackwell.hq.2026:8.19.token.23,urn:cts:fuTeaching:blackwell.hq.2026:10.8.token.2,urn:cts:fuTeaching:blackwell.hq.2026:20.21.token.16
3	ποθ’	ποτε	ποτε	urn:cts:fuTeaching:blackwell.hq.2026:11.22.token.26,urn:cts:fuTeaching:blackwell.hq.2026:12.12.token.4,urn:cts:fuTeaching:blackwell.hq.2026:16.26.token.5
