form	token_urn	expanded_form	presentation_form
Τολμαίου’	urn:cts:greekLit:tlg0003.tlg001.fu:4.119.2.token.58		Τολμαίου’
αἵδ’	urn:cts:greekLit:tlg0003.tlg001.fu:1.23.6.token.33		αἵδ’
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:1.33.4.token.3	γε	γε
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:1.40.4.token.3	γε	γε
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:1.76.4.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:1.77.6.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:3.11.8.token.5	γε	γε
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:3.39.6.token.31	γε	γε
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:3.94.2.token.46	γε	γε
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:4.27.5.token.34	γε	γε
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:4.87.4.token.5	γε	γε
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:5.46.3.token.20	γε	γε
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:6.37.1.token.46	γε	γε
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:7.15.1.token.44	γε	γε
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:7.66.3.token.10	γε	γε
γ’	urn:cts:greekLit:tlg0003.tlg001.fu:8.2.2.token.27	γε	γε
δι’	urn:cts:greekLit:tlg0003.tlg001.fu:1.2.2.token.62	διά	διά
δι’	urn:cts:greekLit:tlg0003.tlg001.fu:1.3.4.token.21	διά	διά
δι’	urn:cts:greekLit:tlg0003.tlg001.fu:1.11.3.token.2	διά	διά
δι’	urn:cts:greekLit:tlg0003.tlg001.fu:1.17.1.token.26	διά	διά
δι’	urn:cts:greekLit:tlg0003.tlg001.fu:1.18.1.token.80	διά	διά
δι’	urn:cts:greekLit:tlg0003.tlg001.fu:1.32.4.token.27	διά	διά
δι’	urn:cts:greekLit:tlg0003.tlg001.fu:1.33.3.token.5	διά	διά
δι’	urn:cts:greekLit:tlg0003.tlg001.fu:1.36.1.token.13	διά	διά
δι’	urn:cts:greekLit:tlg0003.tlg001.fu:1.40.4.token.31	διά	διά
δι’	urn:cts:greekLit:tlg0003.tlg001.fu:1.41.2.token.30	διά	διά
