frequency	elided_form	expanded_form	presentation_form	turns
95	δʼ	δέ	δέ	urn:cts:greekLit:tlg0013.tlg002.fucex:15.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:19.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:20.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:30.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:35.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:38.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:39.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:43.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:44.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:58.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:59.token.7,urn:cts:greekLit:tlg0013.tlg002.fucex:62.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:63.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:74.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:80.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:88.token.7,urn:cts:greekLit:tlg0013.tlg002.fucex:90.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:98.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:112.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:118.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:120.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:124.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:130.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:137.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:145.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:160.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:169.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:174.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:179.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:181.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:188.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:190.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:196.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:198.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:207.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:208.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:211.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:218.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:224.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:230.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:235.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:250.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:262.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:263.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:265.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:273.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:277.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:280.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:281.token.7,urn:cts:greekLit:tlg0013.tlg002.fucex:282.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:285.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:287.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:287.token.8,urn:cts:greekLit:tlg0013.tlg002.fucex:290.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:293.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:300.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:300.token.8,urn:cts:greekLit:tlg0013.tlg002.fucex:305.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:319.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:324.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:330.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:340.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:340.token.7,urn:cts:greekLit:tlg0013.tlg002.fucex:344.token.7,urn:cts:greekLit:tlg0013.tlg002.fucex:346.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:354.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:359.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:364.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:367.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:371.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:377.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:379.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:384.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:387.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:391.token.10,urn:cts:greekLit:tlg0013.tlg002.fucex:392.token.7,urn:cts:greekLit:tlg0013.tlg002.fucex:398.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:401.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:405.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:429.token.8,urn:cts:greekLit:tlg0013.tlg002.fucex:430.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:432.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:436.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:437.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:438.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:439.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:449.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:450.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:452.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:455.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:456.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:458.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:459.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:466.token.10,urn:cts:greekLit:tlg0013.tlg002.fucex:481.token.2
21	τʼ	τε	τε	urn:cts:greekLit:tlg0013.tlg002.fucex:6.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:13.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:35.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:109.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:128.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:218.token.10,urn:cts:greekLit:tlg0013.tlg002.fucex:242.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:269.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:276.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:311.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:313.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:403.token.7,urn:cts:greekLit:tlg0013.tlg002.fucex:421.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:421.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:421.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:423.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:424.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:426.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:478.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:481.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:486.token.2
14	ἀλλʼ	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0013.tlg002.fucex:51.token.1,urn:cts:greekLit:tlg0013.tlg002.fucex:60.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:129.token.1,urn:cts:greekLit:tlg0013.tlg002.fucex:135.token.1,urn:cts:greekLit:tlg0013.tlg002.fucex:192.token.1,urn:cts:greekLit:tlg0013.tlg002.fucex:194.token.1,urn:cts:greekLit:tlg0013.tlg002.fucex:200.token.1,urn:cts:greekLit:tlg0013.tlg002.fucex:214.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:270.token.1,urn:cts:greekLit:tlg0013.tlg002.fucex:329.token.1,urn:cts:greekLit:tlg0013.tlg002.fucex:355.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:383.token.1,urn:cts:greekLit:tlg0013.tlg002.fucex:467.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:490.token.1
13	ἄρʼ	ἄρα	ἄρα	urn:cts:greekLit:tlg0013.tlg002.fucex:20.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:59.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:181.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:188.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:208.token.7,urn:cts:greekLit:tlg0013.tlg002.fucex:228.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:243.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:285.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:388.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:391.token.11,urn:cts:greekLit:tlg0013.tlg002.fucex:432.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:439.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:466.token.3
11	γʼ	γε	γε	urn:cts:greekLit:tlg0013.tlg002.fucex:96.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:122.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:166.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:195.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:202.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:296.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:332.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:334.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:371.token.9,urn:cts:greekLit:tlg0013.tlg002.fucex:388.token.7,urn:cts:greekLit:tlg0013.tlg002.fucex:451.token.6
8	οὔτʼ		οὔτʼ	urn:cts:greekLit:tlg0013.tlg002.fucex:46.token.1,urn:cts:greekLit:tlg0013.tlg002.fucex:199.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:228.token.1,urn:cts:greekLit:tlg0013.tlg002.fucex:236.token.1,urn:cts:greekLit:tlg0013.tlg002.fucex:256.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:381.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:382.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:479.token.1
6	ἠδʼ		ἠδʼ	urn:cts:greekLit:tlg0013.tlg002.fucex:6.token.8,urn:cts:greekLit:tlg0013.tlg002.fucex:7.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:76.token.8,urn:cts:greekLit:tlg0013.tlg002.fucex:149.token.6,urn:cts:greekLit:tlg0013.tlg002.fucex:425.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:426.token.7
6	θʼ	τε	τε	urn:cts:greekLit:tlg0013.tlg002.fucex:8.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:110.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:328.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:428.token.2,urn:cts:greekLit:tlg0013.tlg002.fucex:475.token.5,urn:cts:greekLit:tlg0013.tlg002.fucex:476.token.2
5	οὐδʼ	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0013.tlg002.fucex:23.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:111.token.1,urn:cts:greekLit:tlg0013.tlg002.fucex:358.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:448.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:470.token.4
5	κατʼ	κατά	κατά	urn:cts:greekLit:tlg0013.tlg002.fucex:42.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:177.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:194.token.4,urn:cts:greekLit:tlg0013.tlg002.fucex:388.token.3,urn:cts:greekLit:tlg0013.tlg002.fucex:449.token.4
