form	token_urn	expanded_form	presentation_form
ʼβουλόμην	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1147.1.text.token.6		ʼβουλόμην
ʼγʼὼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1480.1.text.token.3		ʼγʼώ
ʼγωγε	urn:cts:greekLit:tlg0019.tlg009.fu.sp:276.1.text.token.4		ʼγωγε
ʼγὼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:28.1.text.token.6		ʼγώ
ʼγὼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:495.1.text.token.4		ʼγώ
ʼγὼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1147.1.text.token.5		ʼγώ
ʼγώ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:25.1.text.token.4		ʼγώ
ʼδραττόμην	urn:cts:greekLit:tlg0019.tlg009.fu.sp:545.1.text.token.2		ʼδραττόμην
ʼζων	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1072.1.text.token.10		ʼζων
ʼκλεψα	urn:cts:greekLit:tlg0019.tlg009.fu.sp:614.1.text.token.2		ʼκλεψα
ʼκτραφεὶς	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1191.1.text.token.3		ʼκτραφείς
ʼμʼαυτὸν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:601b.1.text.token.1		ʼμʼαυτόν
ʼνεσκεύασα	urn:cts:greekLit:tlg0019.tlg009.fu.sp:523.1.text.token.5		ʼνεσκεύασα
ʼνθάδʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:436.1.text.token.3		ʼνθάδʼ
ʼνιαυτῷ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:18.1.text.token.3		ʼνιαυτῷ
ʼξεκένωσεν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1070.1.text.token.2		ʼξεκένωσεν
ʼξεμεῖν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:11.1.text.token.10		ʼξεμεῖν
ʼπʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:928.1.text.token.7		ʼπʼ
ʼπικαθῆτο	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1046.1.text.token.10		ʼπικαθῆτο
ʼπάταξα	urn:cts:greekLit:tlg0019.tlg009.fu.sp:647.1.text.token.3		ʼπάταξα
ʼπάταξά	urn:cts:greekLit:tlg0019.tlg009.fu.sp:645.1.text.token.2		ʼπάταξά
ʼπὶ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:187.1.text.token.10		ʼπί
ʼπὶ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:199.1.text.token.2		ʼπί
ʼπίορκον	urn:cts:greekLit:tlg0019.tlg009.fu.sp:150.1.text.token.4		ʼπίορκον
ʼρεῖς	urn:cts:greekLit:tlg0019.tlg009.fu.sp:7.1.text.token.8		ʼρεῖς
ʼσται	urn:cts:greekLit:tlg0019.tlg009.fu.sp:596.1.text.token.1		ʼσται
ʼστι	urn:cts:greekLit:tlg0019.tlg009.fu.sp:291.2.text.token.2		ʼστι
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:83.1.text.token.4	ἐστιν	ἐστιν
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:286.1.text.token.3	ἐστιν	ἐστιν
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:292.1.text.token.5	ἐστιν	ἐστιν
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:483.2.text.token.2	ἐστιν	ἐστιν
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:983.1.text.token.6	ἐστιν	ἐστιν
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1305.1.text.token.6	ἐστιν	ἐστιν
ʼστὶ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1401.1.text.token.6		ʼστί
ʼστὶν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:182.1.text.token.2		ʼστίν
ʼτέρᾳ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:64.1.text.token.6		ʼτέρᾳ
ʼφύλαττον	urn:cts:greekLit:tlg0019.tlg009.fu.sp:469.1.text.token.3		ʼφύλαττον
Αἰσχύλʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:856.1.text.token.6		Αἰσχύλʼ
Αἰσχύλʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1171.1.text.token.1		Αἰσχύλʼ
Βακχεῖʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:357.1.text.token.6		Βακχεῖʼ
Διόνυσʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1479.1.text.token.4		Διόνυσʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:28.1.text.token.11		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:70.1.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:128.1.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:159.1.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:174.1.text.token.2		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:192.1.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:306.2.text.token.2		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:493.2.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:501.1.text.token.2		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:559.1.text.token.2		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:645.2.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:650.2.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:663.1.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:749.2.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:753.1.text.token.2		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:779.1.text.token.2		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:781.2.text.token.2		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:788.1.text.token.2		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:795.2.text.token.2		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:914.1.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:937.1.text.token.4		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:947.2.text.token.6		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1043.1.text.token.4		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1045.1.text.token.2		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1053.1.text.token.2		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1089.1.text.token.2		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1158.1.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1183.1.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1188.1.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1198.1.text.token.5		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1237.1.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1460.1.text.token.3		Δίʼ
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1481.1.text.token.3		Δίʼ
Κλέωνʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:577.1.text.token.5		Κλέωνʼ
Μοῦσʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1306.1.text.token.5		Μοῦσʼ
Μοῦσʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1308.1.text.token.4		Μοῦσʼ
Πλούτωνʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:436.1.text.token.1		Πλούτωνʼ
Πυθῶνʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:659.1.text.token.5		Πυθῶνʼ
Φερρέφατθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:671.1.text.token.2		Φερρέφατθʼ
Φθιῶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1264.1.text.token.1		Φθιῶτʼ
Φοῖβʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:754.1.text.token.2		Φοῖβʼ
αἴροιʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:441.1.text.token.1		αἴροιʼ
αὐτίκʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:238.1.text.token.2		αὐτίκʼ
αὔθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1242.1.text.token.6		αὔθʼ
αὔθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1299.1.text.token.2		αὔθʼ
αὔτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:488.1.text.token.5	αὔτε	αὔτε
αὔτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:498.1.text.token.4	αὔτε	αὔτε
αὔτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:532.1.text.token.5	αὔτε	αὔτε
αὔτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:843.1.text.token.5	αὔτε	αὔτε
αὔτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:952.1.text.token.3	αὔτε	αὔτε
αὔτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1025.1.text.token.3	αὔτε	αὔτε
βασάνιζʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:625.1.text.token.7		βασάνιζʼ
βλάπτουσʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1049.1.text.token.3		βλάπτουσʼ
βλέποντʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:602.1.text.token.2		βλέποντʼ
βέβληκʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1400.1.text.token.2		βέβληκʼ
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:5.2.text.token.2	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:11.1.text.token.7	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:25.2.text.token.5	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:28.1.text.token.4	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:29.1.text.token.6	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:43.1.text.token.3	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:63.1.text.token.6	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:70.1.text.token.6	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:78.1.text.token.3	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:80.1.text.token.4	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:104.1.text.token.4	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:182.1.text.token.8	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:183.1.text.token.5	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:189.2.text.token.5	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:198.2.text.token.8	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:222.1.text.token.3	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:228.1.text.token.2	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:236.1.text.token.4	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:258.1.text.token.4	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:264.1.text.token.4	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:276.1.text.token.8	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:283.1.text.token.3	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:300.2.text.token.2	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:488.1.text.token.4	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:491.1.text.token.2	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:564.1.text.token.4	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:574.1.text.token.3	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:637.1.text.token.6	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:655.1.text.token.3	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:718.1.text.token.2	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:781.2.text.token.4	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:794.1.text.token.4	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:812.1.text.token.6	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:845.1.text.token.4	γε	γε
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:914.2.text.token.4	γε	γε
