surface_form	expanded_form
δ’	δέ
ἀλλ’	ἀλλά
γ’	γε
Δί’	Δία
μ’	με
σ’	σε
ταῦτ’	ταῦτα
τ’	τε
τοῦτ’	τοῦτο
’ς	εἰς	
δῆτ’	δῆτα
εἶτ’	εἶτε
οὐδ’	οὐδέ
ἵν’	ἵνα
ποτ’	ποτε
μηδ’	μηδέ
οἶδ’	οἶδα
θ’	τε
ἡνίκ’	ἡνίκα
ἔγωγ’	ἔγωγε
κατ’	κατά
δεῦρ’	δεῦρο
’στιν	ἐστίν
λέγ’	λέγε
δύ’	δύο
δῆθ’	δῆτα
αὔτ’	αὔτε
ἔστ’	ἔστε
Ἴακχ’	Ἴακχε
τοῦθ’	τοῦτο
ἔσθ’	ἔστι
κᾆτ’	κᾆτι
ἄρ’	ἄρα
ἐφ’	ἐπί
τίν’	τίνα
ὑπ’	ὑπό
δι’	διά
κἄπειτ’	κἄπειτε
χαῖρ’	χαῖρε
ὥστ’	ὥστε
παρ’	παρά
μήτ’	μήτε
μετ’	μετά
δαιμόνι’	δαιμόνιε
τιν’	τινα
ῥῆμ’	ῥῆμα
καθ’	κατά
πάντ’	πάντα
ἐνθάδ’	ἐνθάδε
ἐστ’	ἐστί
’γὼ	ἐγώ
δώδεκ’	δώδεκα
ἔμοιγ’	ἔμοιγε
ῥήμαθ’	ῥήματα
οἷ’	οἷα
ἅττ’	ἅττε
’πὶ	ἐπί
μἀλλ’	μἀλλα
Αἰσχύλ’	Αἰσχύλε
κάκιστ’	κάκιστε
ἄριστ’	ἄριστε
ἐσθ’	ἐστί
αὔθ’	αὔτε
Μοῦσ’	Μοῦσα
μάλ’	μάλα
ποθ’	ποτε
ἅτ’	ἅτε
ταὔτ’	ταὔτα
ἥντιν’	ἥντινα
οἴκαδ’	οἴκαδε
πατρῷ’	πατρῷε
ἀν’	ἀνά
πώποτ’	πώποτε
οὐκέτ’	οὐκέτι
κάλλιστ’	κάλλιστα
τῷδ’	τῷδε
ἀπ’	ἀπό
εἶμ’	εἶμι
τόθ’	τότε
ἔλθ’	ἔλθε
ἔτ’	ἔτι
πότερ’	πότερα
ὁπόθ’	ὁπότε
ὑπάγεθ’	ὑπάγετε
’δραττόμην	ἐδραττόμην
’βουλόμην	ἐβουλόμην
ἅμ’	ἅμα
πόλλ’	πόλλα
ἔπειτ’	ἔπειτα
συνέβαιν’	συνέβαινε
τἄρ’	τἄρα
οἶσθ’	οἶσθε
κοὐκέτ’	κοὐκέτι
οὕνεχ’	οὕνεχα
κᾆθ’	κᾆτι
’ξεκένωσεν	ἐξεκένωσεν
’γώ	ἐγώ
τοῦδ’	τοῦδε
ῥᾷστ’	ῥᾷστα
ἴσθ’	ἴστε
ἥδ’	ἥδε
παυσαίμεθ’	παυσαίμεθα
φθεγξόμεσθ’	φθεγξόμεσθα
προσέτ’	προσέτι
Διόνυσ’	Διόνυσε
’στὶ	ἐστί
’σται	ἐσται
ὦδέλφ’	ὦδέλφε
μηδέποτ’	μηδέποτε
λάβ’	λάβε
εἴθ’	εἴτε
κἄμοιγ’	κἄμοιγε
’πάταξα	ἐπάταξα
’φύλαττον	ἐφύλαττον
οὐκέθ’	οὐκέτι
ἴθ’	ἴτε
ἔλθετ’	ἔλθετε
’π’	ἐπί
τῆσδ’	τῆσδε
ἑκκαίδεκ’	ἑκκαίδεκα
μήθ’	μήτε
ἤμελλ’	ἤμελλε
’ξεμεῖν	ἐξεμεῖν
σῳζοίμεθ’	σῳζοίμεθα
ἆρ’	ἆρα
ἄγ’	ἄγε
παῦ’	παῦε
’νεσκεύασα	ἐνεσκεύασα
μηδέν’	μηδένα
ἀπολούμεθ’	ἀπολούμεθα
σχέτλι’	σχέτλιε
’πάταξά	ἐπάταξά
τύχοιμ’	τύχοιμι
’γωγε	ἐγωγε
’τέρᾳ	ἑτέρᾳ
τόνδ’	τόνδε
’ζων	ἐζων
τάδ’	τάδε
κάθιζ’	κάθιζε
’ρεῖς	ἐρεῖς
’στὶν	ἐστίν
εἴμ’	εἴμι
εἶπ’	εἶπε
’πίορκον	ἐπίορκον
’στι	ἐστι
’μ’	ἐμε
’κτραφεὶς	ἐκτραφείς
μηκέτ’	μηκέτι
μεθ’	μετά
’κλεψα	ἐκλεψα
’νιαυτῷ	ἐνιαυτῷ
’πικαθῆτο	ἐπικαθῆτο
ἄττ’	ἄττα
εἶθ’	εἶτε
ἕπτ’	ἕπτα
τἄλλ’	τἄλλα
φέρ’	φέρε
’βουλόμην	ἐβουλόμην
’γωγε	ἐγωγε
’γώ	ἐγώ
’γὼ	ἐγώ
’δραττόμην	ἐδραττόμην
’ζων	ἐζων
’κλεψα	ἐκλεψα
’κτραφείς	ἐκτραφείς
’κτραφεὶς	ἐκτραφείς
’νεσκεύασα	ἐνεσκεύασα
’νθάδ’	ἐνθάδ’
’νιαυτῷ	ἐνιαυτῷ
’ξεκένωσεν	ἐξεκένωσεν
’ξεμεῖν	ἐξεμεῖν
’πί	ἐπί
’πὶ	ἐπί
’πικαθῆτο	ἐπικαθῆτο
’πάταξα	ἐπάταξα
’πάταξά	ἐπάταξά
’πίορκον	ἐπίορκον
’ρεῖς	ἐρεῖς
’σται	ἐσται
’στι	ἐστί
’στί	ἐστί
’στὶ	ἐστί
’στὶν	ἐστίν
’τέρᾳ	ἐτέρᾳ
’φύλαττον	ἐφύλαττον
’κτραφείς	ἐκτραφείς
’π’	ἐπί
’στί	ἐστί
’στίν	ἐστίν
ʽδιαύλιον	ἐδιαύλιον
