urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:718.1.text.token1	πολλάκις	polla/kis	πολλάκις	polla/kis	urn:cite2:hmt:lsj.chicago_md:n84534	d--------
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:718.1.text.token3	ἡμῖν	h(mi=n	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-p---md-
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:718.1.text.token4	ἔδοξεν	e)/docen	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v3saia---
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:718.1.text.token5	ἡ	h(	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---fn-
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:718.1.text.token6	πόλις	po/lis	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-p---fa-
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:718.1.text.token7	πεπονθέναι	peponqe/nai	πάσχω	pa/sxw	urn:cite2:hmt:lsj.chicago_md:n79983	v--rna---
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:719.1.text.token1	ταὐτόν	tau)to/n	ταὐτός	tau)to/s	urn:cite2:hmt:lsj.chicago_md:n102632	a-s---nn-
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:719.1.text.token2	ἔς	e)/s	εἰς	ei)s	urn:cite2:hmt:lsj.chicago_md:n31235	r--------
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:719.1.text.token3	τε	te	τε	te	urn:cite2:hmt:lsj.chicago_md:n102752	c--------
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:719.1.text.token4	τῶν	tw=n	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---mg-
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:719.1.text.token5	πολιτῶν	politw=n	πολίτης	poli/ths	urn:cite2:hmt:lsj.chicago_md:n84511	n-p---mg-
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:719.1.text.token6	τούς	tou/s	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---ma-
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:719.1.text.token7	καλούς	kalou/s	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-p---ma-
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:719.1.text.token8	τε	te	τε	te	urn:cite2:hmt:lsj.chicago_md:n102752	c--------
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:719.1.text.token9	κἀγαθούς	ka)gaqou/s	ἀγαθός	a)gaqo/s	urn:cite2:hmt:lsj.chicago_md:n260	a-p---ma-
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:720.1.text.token1	ἔς	e)/s	εἰς	ei)s	urn:cite2:hmt:lsj.chicago_md:n31235	r--------
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:720.1.text.token2	τε	te	τε	te	urn:cite2:hmt:lsj.chicago_md:n102752	c--------
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:720.1.text.token3	τἀρχαῖον	ta)rxai=on	ἀρχαῖος	a)rxai=os	urn:cite2:hmt:lsj.chicago_md:n15842	a-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:720.1.text.token4	νόμισμα	no/misma	νόμισμα	no/misma	urn:cite2:hmt:lsj.chicago_md:n70968	n-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:720.1.text.token5	καὶ	kai\	καὶ	kai\	urn:cite2:hmt:lsj.chicago_md:n51951	d--------
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:720.1.text.token6	τό	to/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:720.1.text.token7	καινόν	kaino/n	καινός	kaino/s	urn:cite2:hmt:lsj.chicago_md:n51989	a-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:720.1.text.token8	χρυσίον	xrusi/on	χρυσίον	xrusi/on	urn:cite2:hmt:lsj.chicago_md:n114842	n-s---na-
