urn:cts:greekLit:tlg0019.tlg009.fu.sp:35.1.text.token4	καί	kai/	καί	kai/	urn:cite2:hmt:lsj.chicago_md:n51951	c--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:35.1.text.token5	γάρ	ga/r	γάρ	ga/r	urn:cite2:hmt:lsj.chicago_md:n21618	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:35.1.text.token6	ἐγγὺς	e)ggu\s	ἐγγὺς	e)ggu\s	urn:cite2:hmt:lsj.chicago_md:n30030	r--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:35.1.text.token7	τῆς	th=s	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---fg-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:35.1.text.token8	θύρας	qu/ras	θύρα	qu/ra	urn:cite2:hmt:lsj.chicago_md:n49463	n-s---fg-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:36.1.text.token1	ἤδη	h)/dh	ἤδη	h)/dh	urn:cite2:hmt:lsj.chicago_md:n46646	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:36.1.text.token2	βαδίζων	badi/zwn	βαδίζω	badi/zw	urn:cite2:hmt:lsj.chicago_md:n18980	v-sppamn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:36.1.text.token3	εἰμί	ei)mi/	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v1spia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:36.1.text.token4	τῆσδε	th=sde	ὅδε	o(/de	urn:cite2:hmt:lsj.chicago_md:n72010	n-s---fg-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:36.1.text.token7	πρῶτά	prw=ta/	πρῶτος	prw=tos	urn:cite2:hmt:lsj.chicago_md:n91038	a-p---na-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:36.1.text.token8	με	me	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---ma-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:37.1.text.token1	ἔδει	e)/dei	δεῖ	dei=	urn:cite2:hmt:lsj.chicago_md:n23631	v3siia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:37.1.text.token10	παῖ	pai=	παῖς	pai=s	urn:cite2:hmt:lsj.chicago_md:n76703	n-s---mv-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:37.1.text.token2	τραπέσθαι	trape/sqai	τρέπω	tre/pw	urn:cite2:hmt:lsj.chicago_md:n104685	v--anm---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:37.1.text.token4	παιδίον	paidi/on	παιδίον	paidi/on	urn:cite2:hmt:lsj.chicago_md:n76596	n-s---nv-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:37.1.text.token6	παῖ	pai=	παῖς	pai=s	urn:cite2:hmt:lsj.chicago_md:n76703	n-s---mv-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:37.1.text.token8	ἠμί	h)mi/	ἠμί	h)mi/	urn:cite2:hmt:lsj.chicago_md:n47031	v1spia---
