urn:cts:greekLit:tlg0019.tlg009.fu.sp:42.1.text.token.1	οὔ	ou)/	οὐ	ou)	urn:cite2:hmt:lsj.chicago_md:n75730	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:42.1.text.token.2	τοι	toi	τοι	toi	urn:cite2:hmt:lsj.chicago_md:n104155	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:42.1.text.token.3	μά	ma/	μά	ma/	urn:cite2:hmt:lsj.chicago_md:n64387	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:42.1.text.token.4	τήν	th/n	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---fa-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:42.1.text.token.5	Δήμητρα	*dh/mhtra	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fa-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:42.1.text.token.6	δύναμαι	du/namai	δύναμαι	du/namai	urn:cite2:hmt:lsj.chicago_md:n28566	v1spie---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:42.1.text.token.7	μὴ	mh\	μὴ	mh\	urn:cite2:hmt:lsj.chicago_md:n67283	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:42.1.text.token.8	γελᾶν	gela=n	γελάω	gela/w	urn:cite2:hmt:lsj.chicago_md:n21783	v--pna---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:43.1.text.token.2	δάκνω	da/knw	δάκνω	da/knw	urn:cite2:hmt:lsj.chicago_md:n23283	v1spia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:43.1.text.token.3	γ’	g'	γε	ge	urn:cite2:hmt:lsj.chicago_md:n21705	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:43.1.text.token.4	ἐμαυτόν	e)mauto/n	ἐμαυτοῦ	e)mautou=	urn:cite2:hmt:lsj.chicago_md:n33935	p-s---ma-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:43.1.text.token.6	ἀλλ’	a)ll'	ἀλλά	a)lla/	urn:cite2:hmt:lsj.chicago_md:n4357	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:43.1.text.token.7	ὅμως	o(/mws	ὅμως	o(/mws	urn:cite2:hmt:lsj.chicago_md:n73980	c--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:43.1.text.token.8	γελῶ	gelw=	γελάω	gela/w	urn:cite2:hmt:lsj.chicago_md:n21783	v1spia---
