surface_form	expanded_form
δʼ	δέ
ἀλλʼ	ἀλλά
γʼ	γε
Δίʼ	Δία
μʼ	με
σʼ	σε
ταῦτʼ	ταῦτα
τʼ	τε
τοῦτʼ	τοῦτο
ἐπʼ	ἐπί
δῆτʼ	δῆτε
εἶτʼ	εἶτε
οὐδʼ	οὐδέ
ἵνʼ	ἵνα
ποτʼ	ποτε
μηδʼ	μηδέ
οἶδʼ	οἶδα
θʼ	τε
ἡνίκʼ	ἡνίκα
ἔγωγʼ	ἔγωγε
κατʼ	κατά
δεῦρʼ	δεῦρο
ʼστιν	ἐστίν
λέγʼ	λέγε
δύʼ	δύο
δῆθʼ	δῆτε
αὔτʼ	αὔτε
ἔστʼ	ἔστε
Ἴακχʼ	Ἴακχε
τοῦθʼ	τοῦτο
ἔσθʼ	ἔστι
κᾆτʼ	κᾆτι
ἄρʼ	ἄρα
ἐφʼ	ἐπί
τίνʼ	τίνα
ὑπʼ	ὑπό
διʼ	διά
κἄπειτʼ	κἄπειτε
χαῖρʼ	χαῖρε
ὥστʼ	ὥστε
παρʼ	παρά
μήτʼ	μήτε
μετʼ	μετά
δαιμόνιʼ	δαιμόνιε
τινʼ	τινα
ῥῆμʼ	ῥῆμα
καθʼ	κατά
πάντʼ	πάντα
ἐνθάδʼ	ἐνθάδε
ἐστʼ	ἐστί
ʼγὼ	ἐγώ
δώδεκʼ	δώδεκα
ἔμοιγʼ	ἔμοιγε
ῥήμαθʼ	ῥήματα
οἷʼ	οἷα
ἅττʼ	ἅττε
ʼπὶ	ἐπί
μἀλλʼ	μἀλλα
Αἰσχύλʼ	Αἰσχύλε
κάκιστʼ	κάκιστε
ἄριστʼ	ἄριστε
ἐσθʼ	ἐστί
αὔθʼ	αὔτε
Μοῦσʼ	Μοῦσα
μάλʼ	μάλα
ποθʼ	ποτε
ἅτʼ	ἅτε
ταὔτʼ	ταὔτα
ἥντινʼ	ἥντινα
οἴκαδʼ	οἴκαδε
πατρῷʼ	πατρῷε
ἀνʼ	ἀνά
πώποτʼ	πώποτε
οὐκέτʼ	οὐκέτι
κάλλιστʼ	κάλλιστα
τῷδʼ	τῷδε
ἀπʼ	ἀπό
εἶμʼ	εἶμι
τόθʼ	τότε
ἔλθʼ	ἔλθε
ἔτʼ	ἔτι
πότερʼ	πότερα
ὁπόθʼ	ὁπότε
ὑπάγεθʼ	ὑπάγετε
ʼδραττόμην	ἐδραττόμην
ʼβουλόμην	ἐβουλόμην
ἅμʼ	ἅμα
πόλλʼ	πόλλα
ἔπειτʼ	ἔπειτα
συνέβαινʼ	συνέβαινε
τἄρʼ	τἄρα
οἶσθʼ	οἶσθε
κοὐκέτʼ	κοὐκέτι
οὕνεχʼ	οὕνεχα
κᾆθʼ	κᾆτι
ʼξεκένωσεν	ἐξεκένωσεν
ʼγώ	ἐγώ
τοῦδʼ	τοῦδε
ῥᾷστʼ	ῥᾷστα
ἴσθʼ	ἴστε
ἥδʼ	ἥδε
παυσαίμεθʼ	παυσαίμεθα
φθεγξόμεσθʼ	φθεγξόμεσθα
προσέτʼ	προσέτι
Διόνυσʼ	Διόνυσε
ʼστὶ	ἐστί
ʼσται	ἐσται
ὦδέλφʼ	ὦδέλφε
μηδέποτʼ	μηδέποτε
λάβʼ	λάβε
εἴθʼ	εἴτε
κἄμοιγʼ	κἄμοιγε
ʼπάταξα	ἐπάταξα
ʼφύλαττον	ἐφύλαττον
οὐκέθʼ	οὐκέτι
ἴθʼ	ἴτε
ἔλθετʼ	ἔλθετε
ʼπʼ	ἐπί
τῆσδʼ	τῆσδε
ἑκκαίδεκʼ	ἑκκαίδεκα
μήθʼ	μήτε
ἤμελλʼ	ἤμελλε
ʼξεμεῖν	ἐξεμεῖν
σῳζοίμεθʼ	σῳζοίμεθα
ἆρʼ	ἆρα
ἄγʼ	ἄγε
παῦʼ	παῦε
ʼνεσκεύασα	ἐνεσκεύασα
μηδένʼ	μηδένα
ἀπολούμεθʼ	ἀπολούμεθα
σχέτλιʼ	σχέτλιε
ʼπάταξά	ἐπάταξά
τύχοιμʼ	τύχοιμι
ʼγωγε	ἐγωγε
ʼτέρᾳ	ἐτέρᾳ
τόνδʼ	τόνδε
ʼζων	ἐζων
τάδʼ	τάδε
κάθιζʼ	κάθιζε
ʼρεῖς	ἐρεῖς
ʼστὶν	ἐστίν
εἴμʼ	εἴμι
εἶπʼ	εἶπε
ʼπίορκον	ἐπίορκον
ʼστι	ἐστι
ʼμʼ	ἐμε
ʼκτραφεὶς	ἐκτραφείς
μηκέτʼ	μηκέτι
μεθʼ	μετά
ʼκλεψα	ἐκλεψα
ʼνιαυτῷ	ἐνιαυτῷ
ʼπικαθῆτο	ἐπικαθῆτο
ἄττʼ	ἄττα
εἶθʼ	εἶτε
ἕπτʼ	ἕπτα
τἄλλʼ	τἄλλα
φέρʼ	φέρε
ʼβουλόμην	ἐβουλόμην
ʼγωγε	ἐγωγε
ʼγώ	ἐγώ
ʼγὼ	ἐγώ
ʼδραττόμην	ἐδραττόμην
ʼζων	ἐζων
ʼκλεψα	ἐκλεψα
ʼκτραφείς	ἐκτραφείς
ʼκτραφεὶς	ἐκτραφείς
ʼνεσκεύασα	ἐνεσκεύασα
ʼνθάδʼ	ἐνθάδʼ
ʼνιαυτῷ	ἐνιαυτῷ
ʼξεκένωσεν	ἐξεκένωσεν
ʼξεμεῖν	ἐξεμεῖν
ʼπί	ἐπί
ʼπὶ	ἐπί
ʼπικαθῆτο	ἐπικαθῆτο
ʼπάταξα	ἐπάταξα
ʼπάταξά	ἐπάταξά
ʼπίορκον	ἐπίορκον
ʼρεῖς	ἐρεῖς
ʼσται	ἐσται
ʼστι	ἐστί
ʼστί	ἐστί
ʼστὶ	ἐστί
ʼστὶν	ἐστίν
ʼτέρᾳ	ἐτέρᾳ
ʼφύλαττον	ἐφύλαττον
ʼκτραφείς	ἐκτραφείς
ʼπʼ	ἐπί
ʼστί	ἐστί
ʼστίν	ἐστίν
ʽδιαύλιον	ἐδιαύλιον
